Evaluation_Method,Window_Size_seconds,Stride,Stride_Numeric,Binary_F1_Score,Binary_Accuracy,Binary_Precision,Binary_Recall,Multiclass_F1_Score,Multiclass_Accuracy,Word_Level_F1_Score,IoU_F1_Score,Mean_IoU_Percentage
iou_word_sep,1.0,0.85,0.85,0.1333,0.3038,0.0729,0.7744,,,0.1236,0.0645,
window,1.0,0.85,0.85,0.1333,0.3038,0.0729,0.7744,0.3789,0.4822,,,
word,1.0,0.85,0.85,0.1333,0.3038,0.0729,0.7744,,,0.1236,,
iou,1.1,0.85,0.85,0.1524,0.3274,0.0843,0.7914,,,0.1279,0.0654,30.0
iou_word_sep,1.1,0.85,0.85,0.1524,0.3274,0.0843,0.7914,,,0.1279,0.0647,
window,1.1,0.85,0.85,0.1524,0.3274,0.0843,0.7914,0.3521,0.4556,,,
word,1.1,0.85,0.85,0.1524,0.3274,0.0843,0.7914,,,0.1279,,
iou,1.1,0.7,0.7,0.1514,0.3168,0.0839,0.7722,,,0.1205,0.0682,33.24
iou_word_sep,1.1,0.7,0.7,0.1514,0.3168,0.0839,0.7722,,,0.1205,0.0676,
window,1.1,0.7,0.7,0.1514,0.3168,0.0839,0.7722,0.3729,0.4684,,,
word,1.1,0.7,0.7,0.1514,0.3168,0.0839,0.7722,,,0.1205,,
iou,1.1,90.0%,0.9,0.15,0.3091,0.0832,0.755,,,0.1257,0.0675,27.38
iou_word_sep,1.1,90.0%,0.9,0.15,0.3091,0.0832,0.755,,,0.1257,0.066,
window,1.1,90.0%,0.9,0.15,0.3091,0.0832,0.755,0.3654,0.457,,,
word,1.1,90.0%,0.9,0.15,0.3091,0.0832,0.755,,,0.1257,,
iou,1.1,30.0%,0.3,0.1498,0.3167,0.083,0.7619,,,0.1334,0.057,38.92
iou_word_sep,1.1,30.0%,0.3,0.1498,0.3167,0.083,0.7619,,,0.1334,0.0612,
window,1.1,30.0%,0.3,0.1498,0.3167,0.083,0.7619,0.3787,0.467,,,
word,1.1,30.0%,0.3,0.1498,0.3167,0.083,0.7619,,,0.1334,,
iou,1.1,60.0%,0.6,0.1493,0.3143,0.0827,0.7628,,,0.1169,0.0689,33.95
iou_word_sep,1.1,60.0%,0.6,0.1493,0.3143,0.0827,0.7628,,,0.1169,0.0661,
window,1.1,60.0%,0.6,0.1493,0.3143,0.0827,0.7628,0.3751,0.4586,,,
word,1.1,60.0%,0.6,0.1493,0.3143,0.0827,0.7628,,,0.1169,,
iou,1.1,0.75,0.75,0.149,0.3117,0.0826,0.7592,,,0.1232,0.0687,33.02
iou_word_sep,1.1,0.75,0.75,0.149,0.3117,0.0826,0.7592,,,0.1232,0.0687,
window,1.1,0.75,0.75,0.149,0.3117,0.0826,0.7592,0.3888,0.4746,,,
word,1.1,0.75,0.75,0.149,0.3117,0.0826,0.7592,,,0.1232,,
iou,1.1,20.0%,0.2,0.1487,0.3197,0.0824,0.7642,,,0.1189,0.0537,44.54
iou_word_sep,1.1,20.0%,0.2,0.1487,0.3197,0.0824,0.7642,,,0.1189,0.0544,
window,1.1,20.0%,0.2,0.1487,0.3197,0.0824,0.7642,0.3806,0.469,,,
word,1.1,20.0%,0.2,0.1487,0.3197,0.0824,0.7642,,,0.1189,,
iou,1.1,70.0%,0.7,0.1481,0.3157,0.0819,0.7703,,,0.1203,0.0668,31.09
iou,1.1,80.0%,0.8,0.1481,0.3173,0.082,0.7644,,,0.1215,0.0647,28.2
iou_word_sep,1.1,70.0%,0.7,0.1481,0.3157,0.0819,0.7703,,,0.1203,0.0675,
iou_word_sep,1.1,80.0%,0.8,0.1481,0.3173,0.082,0.7644,,,0.1215,0.0682,
window,1.1,70.0%,0.7,0.1481,0.3157,0.0819,0.7703,0.3758,0.4617,,,
window,1.1,80.0%,0.8,0.1481,0.3173,0.082,0.7644,0.3642,0.4411,,,
word,1.1,70.0%,0.7,0.1481,0.3157,0.0819,0.7703,,,0.1203,,
word,1.1,80.0%,0.8,0.1481,0.3173,0.082,0.7644,,,0.1215,,
iou,1.1,0.6,0.6,0.148,0.3121,0.0819,0.7649,,,0.1184,0.0619,32.86
iou_word_sep,1.1,0.6,0.6,0.148,0.3121,0.0819,0.7649,,,0.1184,0.0565,
window,1.1,0.6,0.6,0.148,0.3121,0.0819,0.7649,0.3867,0.4836,,,
word,1.1,0.6,0.6,0.148,0.3121,0.0819,0.7649,,,0.1184,,
iou,1.1,40.0%,0.4,0.1479,0.3162,0.0819,0.7624,,,0.1241,0.0609,36.16
iou_word_sep,1.1,40.0%,0.4,0.1479,0.3162,0.0819,0.7624,,,0.1241,0.0633,
window,1.1,40.0%,0.4,0.1479,0.3162,0.0819,0.7624,0.3783,0.4644,,,
word,1.1,40.0%,0.4,0.1479,0.3162,0.0819,0.7624,,,0.1241,,
iou,1.1,0.55,0.55,0.1478,0.3182,0.0818,0.7649,,,0.1142,0.06,31.25
iou,1.1,50.0%,0.5,0.1478,0.3182,0.0818,0.7649,,,0.1142,0.06,31.25
iou_word_sep,1.1,0.55,0.55,0.1478,0.3182,0.0818,0.7649,,,0.1142,0.0571,
iou_word_sep,1.1,50.0%,0.5,0.1478,0.3182,0.0818,0.7649,,,0.1142,0.0571,
window,1.1,0.55,0.55,0.1478,0.3182,0.0818,0.7649,0.3605,0.4459,,,
window,1.1,50.0%,0.5,0.1478,0.3182,0.0818,0.7649,0.3605,0.4459,,,
word,1.1,0.55,0.55,0.1478,0.3182,0.0818,0.7649,,,0.1142,,
word,1.1,50.0%,0.5,0.1478,0.3182,0.0818,0.7649,,,0.1142,,
iou,1.1,1.1,1.1,0.1476,0.3118,0.0816,0.7666,,,0.0949,0.0635,24.88
iou,1.1,10.0%,0.1,0.1476,0.3192,0.0817,0.7587,,,0.1187,0.0407,56.28
iou,1.1,100.0%,1.0,0.1476,0.3118,0.0816,0.7666,,,0.0949,0.0635,24.88
iou_word_sep,1.1,1.1,1.1,0.1476,0.3118,0.0816,0.7666,,,0.0949,0.0635,
iou_word_sep,1.1,10.0%,0.1,0.1476,0.3192,0.0817,0.7587,,,0.1187,0.0453,
iou_word_sep,1.1,100.0%,1.0,0.1476,0.3118,0.0816,0.7666,,,0.0949,0.0635,
window,1.1,1.1,1.1,0.1476,0.3118,0.0816,0.7666,0.3791,0.4662,,,
window,1.1,10.0%,0.1,0.1476,0.3192,0.0817,0.7587,0.3785,0.4699,,,
window,1.1,100.0%,1.0,0.1476,0.3118,0.0816,0.7666,0.3791,0.4662,,,
word,1.1,1.1,1.1,0.1476,0.3118,0.0816,0.7666,,,0.0949,,
word,1.1,10.0%,0.1,0.1476,0.3192,0.0817,0.7587,,,0.1187,,
word,1.1,100.0%,1.0,0.1476,0.3118,0.0816,0.7666,,,0.0949,,
iou,1.1,1.0,1.0,0.1473,0.3066,0.0816,0.7558,,,0.1225,0.0617,25.33
iou_word_sep,1.1,1.0,1.0,0.1473,0.3066,0.0816,0.7558,,,0.1225,0.0617,
window,1.1,1.0,1.0,0.1473,0.3066,0.0816,0.7558,0.3554,0.449,,,
word,1.1,1.0,1.0,0.1473,0.3066,0.0816,0.7558,,,0.1225,,
iou,1.1,0.8,0.8,0.1468,0.3064,0.0812,0.7689,,,0.1199,0.0714,31.28
iou,1.1,0.95,0.95,0.1468,0.3156,0.0812,0.7657,,,0.1321,0.0748,29.53
iou_word_sep,1.1,0.8,0.8,0.1468,0.3064,0.0812,0.7689,,,0.1199,0.0702,
iou_word_sep,1.1,0.95,0.95,0.1468,0.3156,0.0812,0.7657,,,0.1321,0.0748,
window,1.1,0.8,0.8,0.1468,0.3064,0.0812,0.7689,0.3979,0.4891,,,
window,1.1,0.95,0.95,0.1468,0.3156,0.0812,0.7657,0.3824,0.4836,,,
word,1.1,0.8,0.8,0.1468,0.3064,0.0812,0.7689,,,0.1199,,
word,1.1,0.95,0.95,0.1468,0.3156,0.0812,0.7657,,,0.1321,,
iou,1.1,1.05,1.05,0.1466,0.308,0.0812,0.7554,,,0.1322,0.0777,30.17
iou_word_sep,1.1,1.05,1.05,0.1466,0.308,0.0812,0.7554,,,0.1322,0.0769,
window,1.1,1.05,1.05,0.1466,0.308,0.0812,0.7554,0.4216,0.4964,,,
word,1.1,1.05,1.05,0.1466,0.308,0.0812,0.7554,,,0.1322,,
iou,1.1,0.65,0.65,0.1463,0.3164,0.081,0.7608,,,0.1116,0.0656,33.56
iou_word_sep,1.1,0.65,0.65,0.1463,0.3164,0.081,0.7608,,,0.1116,0.0623,
window,1.1,0.65,0.65,0.1463,0.3164,0.081,0.7608,0.3786,0.4729,,,
word,1.1,0.65,0.65,0.1463,0.3164,0.081,0.7608,,,0.1116,,
iou,1.1,0.9,0.9,0.1432,0.3127,0.0791,0.7542,,,0.1223,0.0694,30.27
iou_word_sep,1.1,0.9,0.9,0.1432,0.3127,0.0791,0.7542,,,0.1223,0.068,
window,1.1,0.9,0.9,0.1432,0.3127,0.0791,0.7542,0.3748,0.4856,,,
word,1.1,0.9,0.9,0.1432,0.3127,0.0791,0.7542,,,0.1223,,
iou,1.2,1.05,1.05,0.1619,0.3363,0.0905,0.7692,,,0.1399,0.0815,32.83
iou_word_sep,1.2,1.05,1.05,0.1619,0.3363,0.0905,0.7692,,,0.1399,0.0815,
window,1.2,1.05,1.05,0.1619,0.3363,0.0905,0.7692,0.4135,0.4967,,,
word,1.2,1.05,1.05,0.1619,0.3363,0.0905,0.7692,,,0.1399,,
iou,1.2,0.7,0.7,0.16,0.3301,0.0894,0.7602,,,0.123,0.0706,33.72
iou_word_sep,1.2,0.7,0.7,0.16,0.3301,0.0894,0.7602,,,0.123,0.0665,
window,1.2,0.7,0.7,0.16,0.3301,0.0894,0.7602,0.3554,0.4541,,,
word,1.2,0.7,0.7,0.16,0.3301,0.0894,0.7602,,,0.123,,
iou,1.2,80.0%,0.8,0.159,0.3294,0.089,0.7431,,,0.1339,0.0734,30.46
iou_word_sep,1.2,80.0%,0.8,0.159,0.3294,0.089,0.7431,,,0.1339,0.0749,
window,1.2,80.0%,0.8,0.159,0.3294,0.089,0.7431,0.3825,0.466,,,
word,1.2,80.0%,0.8,0.159,0.3294,0.089,0.7431,,,0.1339,,
iou,1.2,60.0%,0.6,0.1589,0.3317,0.0889,0.7491,,,0.1158,0.0667,33.56
iou_word_sep,1.2,60.0%,0.6,0.1589,0.3317,0.0889,0.7491,,,0.1158,0.0636,
window,1.2,60.0%,0.6,0.1589,0.3317,0.0889,0.7491,0.3858,0.4744,,,
word,1.2,60.0%,0.6,0.1589,0.3317,0.0889,0.7491,,,0.1158,,
iou,1.2,0.6,0.6,0.1584,0.3275,0.0885,0.7504,,,0.119,0.0707,34.18
iou,1.2,50.0%,0.5,0.1584,0.3275,0.0885,0.7504,,,0.119,0.0707,34.18
iou_word_sep,1.2,0.6,0.6,0.1584,0.3275,0.0885,0.7504,,,0.119,0.0676,
iou_word_sep,1.2,50.0%,0.5,0.1584,0.3275,0.0885,0.7504,,,0.119,0.0676,
window,1.2,0.6,0.6,0.1584,0.3275,0.0885,0.7504,0.3656,0.4662,,,
window,1.2,50.0%,0.5,0.1584,0.3275,0.0885,0.7504,0.3656,0.4662,,,
word,1.2,0.6,0.6,0.1584,0.3275,0.0885,0.7504,,,0.119,,
word,1.2,50.0%,0.5,0.1584,0.3275,0.0885,0.7504,,,0.119,,
iou,1.2,90.0%,0.9,0.1581,0.3322,0.0882,0.76,,,0.1352,0.0782,28.43
iou_word_sep,1.2,90.0%,0.9,0.1581,0.3322,0.0882,0.76,,,0.1352,0.0774,
window,1.2,90.0%,0.9,0.1581,0.3322,0.0882,0.76,0.3688,0.4772,,,
word,1.2,90.0%,0.9,0.1581,0.3322,0.0882,0.76,,,0.1352,,
iou,1.2,30.0%,0.3,0.158,0.3286,0.0882,0.7544,,,0.1372,0.0578,39.39
iou_word_sep,1.2,30.0%,0.3,0.158,0.3286,0.0882,0.7544,,,0.1372,0.0632,
window,1.2,30.0%,0.3,0.158,0.3286,0.0882,0.7544,0.375,0.4737,,,
word,1.2,30.0%,0.3,0.158,0.3286,0.0882,0.7544,,,0.1372,,
iou,1.2,0.75,0.75,0.1579,0.3248,0.0883,0.7433,,,0.1225,0.0673,32.56
iou_word_sep,1.2,0.75,0.75,0.1579,0.3248,0.0883,0.7433,,,0.1225,0.0654,
window,1.2,0.75,0.75,0.1579,0.3248,0.0883,0.7433,0.3628,0.4565,,,
word,1.2,0.75,0.75,0.1579,0.3248,0.0883,0.7433,,,0.1225,,
iou,1.2,0.9,0.9,0.1575,0.3363,0.088,0.7445,,,0.1297,0.0727,31.78
iou_word_sep,1.2,0.9,0.9,0.1575,0.3363,0.088,0.7445,,,0.1297,0.0727,
window,1.2,0.9,0.9,0.1575,0.3363,0.088,0.7445,0.3739,0.4704,,,
word,1.2,0.9,0.9,0.1575,0.3363,0.088,0.7445,,,0.1297,,
iou,1.2,70.0%,0.7,0.1574,0.3252,0.0879,0.7495,,,0.1271,0.0697,31.07
iou_word_sep,1.2,70.0%,0.7,0.1574,0.3252,0.0879,0.7495,,,0.1271,0.0697,
window,1.2,70.0%,0.7,0.1574,0.3252,0.0879,0.7495,0.3636,0.4647,,,
word,1.2,70.0%,0.7,0.1574,0.3252,0.0879,0.7495,,,0.1271,,
iou,1.2,40.0%,0.4,0.157,0.3266,0.0879,0.7356,,,0.1333,0.0619,35.76
iou_word_sep,1.2,40.0%,0.4,0.157,0.3266,0.0879,0.7356,,,0.1333,0.0635,
window,1.2,40.0%,0.4,0.157,0.3266,0.0879,0.7356,0.371,0.4562,,,
word,1.2,40.0%,0.4,0.157,0.3266,0.0879,0.7356,,,0.1333,,
iou,1.2,1.2,1.2,0.1567,0.3271,0.0876,0.7399,,,0.0937,0.0631,23.89
iou,1.2,100.0%,1.0,0.1567,0.3271,0.0876,0.7399,,,0.0937,0.0631,23.89
iou_word_sep,1.2,1.2,1.2,0.1567,0.3271,0.0876,0.7399,,,0.0937,0.064,
iou_word_sep,1.2,100.0%,1.0,0.1567,0.3271,0.0876,0.7399,,,0.0937,0.064,
window,1.2,1.2,1.2,0.1567,0.3271,0.0876,0.7399,0.3525,0.457,,,
window,1.2,100.0%,1.0,0.1567,0.3271,0.0876,0.7399,0.3525,0.457,,,
word,1.2,1.2,1.2,0.1567,0.3271,0.0876,0.7399,,,0.0937,,
word,1.2,100.0%,1.0,0.1567,0.3271,0.0876,0.7399,,,0.0937,,
iou,1.2,10.0%,0.1,0.156,0.3253,0.0871,0.7442,,,0.1263,0.0417,55.58
iou,1.2,20.0%,0.2,0.156,0.3258,0.0872,0.742,,,0.1264,0.0541,46.11
iou_word_sep,1.2,10.0%,0.1,0.156,0.3253,0.0871,0.7442,,,0.1263,0.0472,
iou_word_sep,1.2,20.0%,0.2,0.156,0.3258,0.0872,0.742,,,0.1264,0.0548,
window,1.2,10.0%,0.1,0.156,0.3253,0.0871,0.7442,0.3648,0.4617,,,
window,1.2,20.0%,0.2,0.156,0.3258,0.0872,0.742,0.3674,0.4618,,,
word,1.2,10.0%,0.1,0.156,0.3253,0.0871,0.7442,,,0.1263,,
word,1.2,20.0%,0.2,0.156,0.3258,0.0872,0.742,,,0.1264,,
iou,1.2,0.8,0.8,0.1556,0.3238,0.0868,0.749,,,0.1304,0.0645,30.7
iou_word_sep,1.2,0.8,0.8,0.1556,0.3238,0.0868,0.749,,,0.1304,0.0599,
window,1.2,0.8,0.8,0.1556,0.3238,0.0868,0.749,0.362,0.4607,,,
word,1.2,0.8,0.8,0.1556,0.3238,0.0868,0.749,,,0.1304,,
iou,1.2,0.65,0.65,0.1545,0.3254,0.0863,0.7381,,,0.1261,0.0598,31.33
iou_word_sep,1.2,0.65,0.65,0.1545,0.3254,0.0863,0.7381,,,0.1261,0.0553,
window,1.2,0.65,0.65,0.1545,0.3254,0.0863,0.7381,0.3583,0.4645,,,
word,1.2,0.65,0.65,0.1545,0.3254,0.0863,0.7381,,,0.1261,,
iou,1.2,1.1,1.1,0.1544,0.3227,0.0862,0.7399,,,0.1449,0.0664,24.95
iou_word_sep,1.2,1.1,1.1,0.1544,0.3227,0.0862,0.7399,,,0.1449,0.0664,
window,1.2,1.1,1.1,0.1544,0.3227,0.0862,0.7399,0.3576,0.4565,,,
word,1.2,1.1,1.1,0.1544,0.3227,0.0862,0.7399,,,0.1449,,
iou,1.2,1.15,1.15,0.1543,0.3277,0.0859,0.755,,,0.1329,0.0824,27.17
iou_word_sep,1.2,1.15,1.15,0.1543,0.3277,0.0859,0.755,,,0.1329,0.0824,
window,1.2,1.15,1.15,0.1543,0.3277,0.0859,0.755,0.3623,0.4618,,,
word,1.2,1.15,1.15,0.1543,0.3277,0.0859,0.755,,,0.1329,,
iou,1.2,0.85,0.85,0.1532,0.3315,0.0856,0.7317,,,0.1279,0.0657,29.96
iou_word_sep,1.2,0.85,0.85,0.1532,0.3315,0.0856,0.7317,,,0.1279,0.0636,
window,1.2,0.85,0.85,0.1532,0.3315,0.0856,0.7317,0.3563,0.4728,,,
word,1.2,0.85,0.85,0.1532,0.3315,0.0856,0.7317,,,0.1279,,
iou,1.2,0.95,0.95,0.1494,0.3278,0.0834,0.721,,,0.1258,0.0662,28.71
iou_word_sep,1.2,0.95,0.95,0.1494,0.3278,0.0834,0.721,,,0.1258,0.067,
window,1.2,0.95,0.95,0.1494,0.3278,0.0834,0.721,0.3783,0.4787,,,
word,1.2,0.95,0.95,0.1494,0.3278,0.0834,0.721,,,0.1258,,
iou,1.2,1.0,1.0,0.1487,0.3166,0.0832,0.7026,,,0.1234,0.0554,24.19
iou_word_sep,1.2,1.0,1.0,0.1487,0.3166,0.0832,0.7026,,,0.1234,0.0562,
window,1.2,1.0,1.0,0.1487,0.3166,0.0832,0.7026,0.3382,0.4232,,,
word,1.2,1.0,1.0,0.1487,0.3166,0.0832,0.7026,,,0.1234,,
iou,1.3,80.0%,0.8,0.1704,0.3359,0.096,0.7576,,,0.1393,0.0753,30.14
iou_word_sep,1.3,80.0%,0.8,0.1704,0.3359,0.096,0.7576,,,0.1393,0.0745,
window,1.3,80.0%,0.8,0.1704,0.3359,0.096,0.7576,0.3679,0.4596,,,
word,1.3,80.0%,0.8,0.1704,0.3359,0.096,0.7576,,,0.1393,,
iou,1.3,40.0%,0.4,0.1702,0.3398,0.0959,0.7568,,,0.1508,0.0665,36.44
iou_word_sep,1.3,40.0%,0.4,0.1702,0.3398,0.0959,0.7568,,,0.1508,0.0665,
window,1.3,40.0%,0.4,0.1702,0.3398,0.0959,0.7568,0.3824,0.4655,,,
word,1.3,40.0%,0.4,0.1702,0.3398,0.0959,0.7568,,,0.1508,,
iou,1.3,1.1,1.1,0.1701,0.3445,0.0958,0.7614,,,0.1422,0.0711,27.86
iou_word_sep,1.3,1.1,1.1,0.1701,0.3445,0.0958,0.7614,,,0.1422,0.0702,
window,1.3,1.1,1.1,0.1701,0.3445,0.0958,0.7614,0.3527,0.4467,,,
word,1.3,1.1,1.1,0.1701,0.3445,0.0958,0.7614,,,0.1422,,
iou,1.3,70.0%,0.7,0.1692,0.337,0.0955,0.7413,,,0.1298,0.0716,30.44
iou_word_sep,1.3,70.0%,0.7,0.1692,0.337,0.0955,0.7413,,,0.1298,0.0739,
window,1.3,70.0%,0.7,0.1692,0.337,0.0955,0.7413,0.3527,0.4368,,,
word,1.3,70.0%,0.7,0.1692,0.337,0.0955,0.7413,,,0.1298,,
iou,1.3,1.2,1.2,0.1689,0.3439,0.0952,0.75,,,0.1419,0.0658,25.64
iou_word_sep,1.3,1.2,1.2,0.1689,0.3439,0.0952,0.75,,,0.1419,0.0677,
window,1.3,1.2,1.2,0.1689,0.3439,0.0952,0.75,0.3372,0.4432,,,
word,1.3,1.2,1.2,0.1689,0.3439,0.0952,0.75,,,0.1419,,
iou,1.3,0.85,0.85,0.1686,0.3402,0.095,0.7466,,,0.1315,0.079,34.24
iou_word_sep,1.3,0.85,0.85,0.1686,0.3402,0.095,0.7466,,,0.1315,0.0769,
window,1.3,0.85,0.85,0.1686,0.3402,0.095,0.7466,0.3762,0.4948,,,
word,1.3,0.85,0.85,0.1686,0.3402,0.095,0.7466,,,0.1315,,
iou,1.3,0.9,0.9,0.1674,0.3466,0.0944,0.7366,,,0.1327,0.0749,30.65
iou_word_sep,1.3,0.9,0.9,0.1674,0.3466,0.0944,0.7366,,,0.1327,0.0749,
window,1.3,0.9,0.9,0.1674,0.3466,0.0944,0.7366,0.359,0.4525,,,
word,1.3,0.9,0.9,0.1674,0.3466,0.0944,0.7366,,,0.1327,,
iou,1.3,0.65,0.65,0.1671,0.3392,0.0942,0.7407,,,0.1356,0.0701,34.2
iou,1.3,50.0%,0.5,0.1671,0.3392,0.0942,0.7407,,,0.1356,0.0701,34.2
iou_word_sep,1.3,0.65,0.65,0.1671,0.3392,0.0942,0.7407,,,0.1356,0.0654,
iou_word_sep,1.3,50.0%,0.5,0.1671,0.3392,0.0942,0.7407,,,0.1356,0.0654,
window,1.3,0.65,0.65,0.1671,0.3392,0.0942,0.7407,0.3633,0.454,,,
window,1.3,50.0%,0.5,0.1671,0.3392,0.0942,0.7407,0.3633,0.454,,,
word,1.3,0.65,0.65,0.1671,0.3392,0.0942,0.7407,,,0.1356,,
word,1.3,50.0%,0.5,0.1671,0.3392,0.0942,0.7407,,,0.1356,,
iou,1.3,20.0%,0.2,0.1665,0.3399,0.0939,0.7353,,,0.1403,0.0552,44.06
iou_word_sep,1.3,20.0%,0.2,0.1665,0.3399,0.0939,0.7353,,,0.1403,0.054,
window,1.3,20.0%,0.2,0.1665,0.3399,0.0939,0.7353,0.3571,0.4525,,,
word,1.3,20.0%,0.2,0.1665,0.3399,0.0939,0.7353,,,0.1403,,
iou,1.3,60.0%,0.6,0.1656,0.3477,0.0936,0.7191,,,0.1338,0.0712,32.23
iou_word_sep,1.3,60.0%,0.6,0.1656,0.3477,0.0936,0.7191,,,0.1338,0.0652,
window,1.3,60.0%,0.6,0.1656,0.3477,0.0936,0.7191,0.361,0.4545,,,
word,1.3,60.0%,0.6,0.1656,0.3477,0.0936,0.7191,,,0.1338,,
iou,1.3,0.8,0.8,0.1645,0.3406,0.0927,0.7276,,,0.1283,0.0692,32.25
iou,1.3,30.0%,0.3,0.1645,0.3441,0.0928,0.7209,,,0.1467,0.0548,35.41
iou_word_sep,1.3,0.8,0.8,0.1645,0.3406,0.0927,0.7276,,,0.1283,0.0672,
iou_word_sep,1.3,30.0%,0.3,0.1645,0.3441,0.0928,0.7209,,,0.1467,0.0598,
window,1.3,0.8,0.8,0.1645,0.3406,0.0927,0.7276,0.3556,0.4422,,,
window,1.3,30.0%,0.3,0.1645,0.3441,0.0928,0.7209,0.3502,0.4513,,,
word,1.3,0.8,0.8,0.1645,0.3406,0.0927,0.7276,,,0.1283,,
word,1.3,30.0%,0.3,0.1645,0.3441,0.0928,0.7209,,,0.1467,,
iou,1.3,10.0%,0.1,0.1644,0.3394,0.0927,0.7243,,,0.1397,0.0449,56.15
iou_word_sep,1.3,10.0%,0.1,0.1644,0.3394,0.0927,0.7243,,,0.1397,0.0496,
window,1.3,10.0%,0.1,0.1644,0.3394,0.0927,0.7243,0.3591,0.455,,,
word,1.3,10.0%,0.1,0.1644,0.3394,0.0927,0.7243,,,0.1397,,
iou,1.3,1.3,1.3,0.1641,0.3318,0.0923,0.7381,,,0.1045,0.0769,25.6
iou,1.3,100.0%,1.0,0.1641,0.3318,0.0923,0.7381,,,0.1045,0.0769,25.6
iou_word_sep,1.3,1.3,1.3,0.1641,0.3318,0.0923,0.7381,,,0.1045,0.074,
iou_word_sep,1.3,100.0%,1.0,0.1641,0.3318,0.0923,0.7381,,,0.1045,0.074,
window,1.3,1.3,1.3,0.1641,0.3318,0.0923,0.7381,0.3712,0.4637,,,
window,1.3,100.0%,1.0,0.1641,0.3318,0.0923,0.7381,0.3712,0.4637,,,
word,1.3,1.3,1.3,0.1641,0.3318,0.0923,0.7381,,,0.1045,,
word,1.3,100.0%,1.0,0.1641,0.3318,0.0923,0.7381,,,0.1045,,
iou,1.3,90.0%,0.9,0.1638,0.341,0.0925,0.7169,,,0.1438,0.0692,25.13
iou_word_sep,1.3,90.0%,0.9,0.1638,0.341,0.0925,0.7169,,,0.1438,0.0728,
window,1.3,90.0%,0.9,0.1638,0.341,0.0925,0.7169,0.3451,0.4465,,,
word,1.3,90.0%,0.9,0.1638,0.341,0.0925,0.7169,,,0.1438,,
iou,1.3,0.75,0.75,0.1637,0.3329,0.0924,0.7189,,,0.1284,0.0705,33.16
iou_word_sep,1.3,0.75,0.75,0.1637,0.3329,0.0924,0.7189,,,0.1284,0.0648,
window,1.3,0.75,0.75,0.1637,0.3329,0.0924,0.7189,0.3717,0.4614,,,
word,1.3,0.75,0.75,0.1637,0.3329,0.0924,0.7189,,,0.1284,,
iou,1.3,0.7,0.7,0.1624,0.333,0.0914,0.7283,,,0.1314,0.0653,31.68
iou_word_sep,1.3,0.7,0.7,0.1624,0.333,0.0914,0.7283,,,0.1314,0.0598,
window,1.3,0.7,0.7,0.1624,0.333,0.0914,0.7283,0.3474,0.4371,,,
word,1.3,0.7,0.7,0.1624,0.333,0.0914,0.7283,,,0.1314,,
iou,1.3,1.0,1.0,0.1615,0.3315,0.091,0.7182,,,0.1352,0.0609,27.34
iou_word_sep,1.3,1.0,1.0,0.1615,0.3315,0.091,0.7182,,,0.1352,0.0625,
window,1.3,1.0,1.0,0.1615,0.3315,0.091,0.7182,0.3526,0.4304,,,
word,1.3,1.0,1.0,0.1615,0.3315,0.091,0.7182,,,0.1352,,
iou,1.3,1.15,1.15,0.1608,0.338,0.0904,0.7305,,,0.1427,0.0799,28.29
iou_word_sep,1.3,1.15,1.15,0.1608,0.338,0.0904,0.7305,,,0.1427,0.0799,
window,1.3,1.15,1.15,0.1608,0.338,0.0904,0.7305,0.3883,0.4649,,,
word,1.3,1.15,1.15,0.1608,0.338,0.0904,0.7305,,,0.1427,,
iou,1.3,1.05,1.05,0.1607,0.3324,0.0906,0.7136,,,0.1434,0.0757,31.27
iou_word_sep,1.3,1.05,1.05,0.1607,0.3324,0.0906,0.7136,,,0.1434,0.0766,
window,1.3,1.05,1.05,0.1607,0.3324,0.0906,0.7136,0.4073,0.4816,,,
word,1.3,1.05,1.05,0.1607,0.3324,0.0906,0.7136,,,0.1434,,
iou,1.3,0.95,0.95,0.1598,0.3365,0.0898,0.7261,,,0.132,0.0713,29.27
iou_word_sep,1.3,0.95,0.95,0.1598,0.3365,0.0898,0.7261,,,0.132,0.0683,
window,1.3,0.95,0.95,0.1598,0.3365,0.0898,0.7261,0.3571,0.4509,,,
word,1.3,0.95,0.95,0.1598,0.3365,0.0898,0.7261,,,0.132,,
iou,1.3,1.25,1.25,0.1553,0.3327,0.0875,0.6905,,,0.136,0.0607,21.0
iou_word_sep,1.3,1.25,1.25,0.1553,0.3327,0.0875,0.6905,,,0.136,0.0616,
window,1.3,1.25,1.25,0.1553,0.3327,0.0875,0.6905,0.3168,0.4398,,,
word,1.3,1.25,1.25,0.1553,0.3327,0.0875,0.6905,,,0.136,,
iou,1.4,70.0%,0.7,0.1775,0.3465,0.1007,0.7463,,,0.1386,0.0763,31.1
iou_word_sep,1.4,70.0%,0.7,0.1775,0.3465,0.1007,0.7463,,,0.1386,0.0716,
window,1.4,70.0%,0.7,0.1775,0.3465,0.1007,0.7463,0.3432,0.4448,,,
word,1.4,70.0%,0.7,0.1775,0.3465,0.1007,0.7463,,,0.1386,,
iou,1.4,1.35,1.35,0.1756,0.3549,0.0998,0.731,,,0.1514,0.0816,25.14
iou_word_sep,1.4,1.35,1.35,0.1756,0.3549,0.0998,0.731,,,0.1514,0.0859,
window,1.4,1.35,1.35,0.1756,0.3549,0.0998,0.731,0.3472,0.46,,,
