Evaluation_Method,Window_Size_seconds,Stride,Stride_Numeric,Binary_F1_Score,Binary_Accuracy,Binary_Precision,Binary_Recall,Multiclass_F1_Score,Multiclass_Accuracy,Word_Level_F1_Score,IoU_F1_Score,Mean_IoU_Percentage
iou,0.5,0.5,0.5,0.0758,0.1682,0.0395,0.9076,,,0.057,0.0367,26.9
iou,0.5,100.0%,1.0,0.0758,0.1682,0.0395,0.9076,,,0.057,0.0367,26.9
iou,0.5,30.0%,0.3,0.0758,0.1683,0.0396,0.9005,,,0.0724,0.0295,42.04
iou_word_sep,0.5,0.5,0.5,0.0758,0.1682,0.0395,0.9076,,,0.057,0.0367,
iou_word_sep,0.5,100.0%,1.0,0.0758,0.1682,0.0395,0.9076,,,0.057,0.0367,
iou_word_sep,0.5,30.0%,0.3,0.0758,0.1683,0.0396,0.9005,,,0.0724,0.0339,
window,0.5,0.5,0.5,0.0758,0.1682,0.0395,0.9076,0.3857,0.4671,,,
window,0.5,100.0%,1.0,0.0758,0.1682,0.0395,0.9076,0.3857,0.4671,,,
window,0.5,30.0%,0.3,0.0758,0.1683,0.0396,0.9005,0.414,0.4789,,,
word,0.5,0.5,0.5,0.0758,0.1682,0.0395,0.9076,,,0.057,,
word,0.5,100.0%,1.0,0.0758,0.1682,0.0395,0.9076,,,0.057,,
word,0.5,30.0%,0.3,0.0758,0.1683,0.0396,0.9005,,,0.0724,,
iou,0.5,0.25,0.25,0.0757,0.1707,0.0395,0.9085,,,0.0652,0.0337,34.33
iou,0.5,40.0%,0.4,0.0757,0.1698,0.0395,0.9063,,,0.0707,0.0346,39.7
iou,0.5,50.0%,0.5,0.0757,0.1707,0.0395,0.9085,,,0.0652,0.0337,34.33
iou_word_sep,0.5,0.25,0.25,0.0757,0.1707,0.0395,0.9085,,,0.0652,0.0335,
iou_word_sep,0.5,40.0%,0.4,0.0757,0.1698,0.0395,0.9063,,,0.0707,0.0364,
iou_word_sep,0.5,50.0%,0.5,0.0757,0.1707,0.0395,0.9085,,,0.0652,0.0335,
window,0.5,0.25,0.25,0.0757,0.1707,0.0395,0.9085,0.3964,0.4737,,,
window,0.5,40.0%,0.4,0.0757,0.1698,0.0395,0.9063,0.4236,0.4952,,,
window,0.5,50.0%,0.5,0.0757,0.1707,0.0395,0.9085,0.3964,0.4737,,,
word,0.5,0.25,0.25,0.0757,0.1707,0.0395,0.9085,,,0.0652,,
word,0.5,40.0%,0.4,0.0757,0.1698,0.0395,0.9063,,,0.0707,,
word,0.5,50.0%,0.5,0.0757,0.1707,0.0395,0.9085,,,0.0652,,
iou,0.5,0.45,0.45,0.0754,0.1666,0.0393,0.9069,,,0.081,0.0387,29.62
iou,0.5,90.0%,0.9,0.0754,0.1666,0.0393,0.9069,,,0.081,0.0387,29.62
iou_word_sep,0.5,0.45,0.45,0.0754,0.1666,0.0393,0.9069,,,0.081,0.0394,
iou_word_sep,0.5,90.0%,0.9,0.0754,0.1666,0.0393,0.9069,,,0.081,0.0394,
window,0.5,0.45,0.45,0.0754,0.1666,0.0393,0.9069,0.4293,0.4973,,,
window,0.5,90.0%,0.9,0.0754,0.1666,0.0393,0.9069,0.4293,0.4973,,,
word,0.5,0.45,0.45,0.0754,0.1666,0.0393,0.9069,,,0.081,,
word,0.5,90.0%,0.9,0.0754,0.1666,0.0393,0.9069,,,0.081,,
iou,0.5,10.0%,0.1,0.0751,0.1684,0.0392,0.8991,,,0.0607,0.021,63.38
iou_word_sep,0.5,10.0%,0.1,0.0751,0.1684,0.0392,0.8991,,,0.0607,0.0255,
