,,window_f1,window_f1,window_f1,word_f1,word_f1,word_f1,combined_iou,combined_iou,combined_iou,eval_type
,,mean,std,count,mean,std,count,mean,std,count,<lambda>
window_numeric,stride_percentage,,,,,,,,,,
0.9,61.111111111111114,0.18,,1,0.6548,,1,0.0702,,1,['eval_by_0.05']
0.9,66.66666666666666,0.1837,,1,0.6452,,1,0.0713,,1,['eval_by_0.05']
0.9,70.0,0.1845,,1,0.6279,,1,0.072,,1,['eval_percent']
0.9,72.22222222222221,0.1829,,1,0.6179,,1,0.0729,,1,['eval_by_0.05']
0.9,77.77777777777777,0.1789,,1,0.6255,,1,0.0747,,1,['eval_by_0.05']
0.9,80.0,0.1824,,1,0.6077,,1,0.0711,,1,['eval_percent']
0.9,83.33333333333333,0.1892,,1,0.6204,,1,0.0714,,1,['eval_by_0.05']
0.9,88.8888888888889,0.182,,1,0.5843,,1,0.0692,,1,['eval_by_0.05']
0.9,90.0,0.1788,,1,0.5736,,1,0.0688,,1,['eval_percent']
0.9,94.44444444444444,0.1847,,1,0.5709,,1,0.0672,,1,['eval_by_0.05']
0.9,100.0,0.1891,0.0,2,0.5655,0.0,2,0.0662,0.0,2,"['eval_by_0.05', 'eval_percent']"
1.0,10.0,0.1899,,1,0.8333,,1,0.0645,,1,['eval_percent']
1.0,20.0,0.191,,1,0.7962,,1,0.0648,,1,['eval_percent']
1.0,30.0,0.1914,,1,0.7442,,1,0.0625,,1,['eval_percent']
1.0,40.0,0.1914,,1,0.7273,,1,0.0652,,1,['eval_percent']
1.0,50.0,0.1879,0.0,2,0.669,0.0,2,0.0622,0.0,2,"['eval_by_0.05', 'eval_percent']"
1.0,55.00000000000001,0.2003,,1,0.6524,,1,0.063,,1,['eval_by_0.05']
1.0,60.0,0.1943,0.0,2,0.6596,0.0,2,0.0637,0.0,2,"['eval_by_0.05', 'eval_percent']"
1.0,65.0,0.1876,,1,0.6179,,1,0.0636,,1,['eval_by_0.05']
1.0,70.0,0.1958,0.0,2,0.6179,0.0,2,0.0675,0.0,2,"['eval_by_0.05', 'eval_percent']"
1.0,75.0,0.1974,,1,0.6,,1,0.0644,,1,['eval_by_0.05']
1.0,80.0,0.1819,0.0,2,0.5709,0.0,2,0.0564,0.0,2,"['eval_by_0.05', 'eval_percent']"
1.0,85.0,0.1924,,1,0.5682,,1,0.059,,1,['eval_by_0.05']
1.0,90.0,0.1951,0.0,2,0.5377,0.0,2,0.0564,0.0,2,"['eval_by_0.05', 'eval_percent']"
1.0,95.0,0.1873,,1,0.5292,,1,0.0562,,1,['eval_by_0.05']
1.0,100.0,0.2003,0.0,2,0.5377,0.0,2,0.0543,0.0,2,"['eval_by_0.05', 'eval_percent']"
1.1,10.0,0.1932,,1,0.8,,1,0.0563,,1,['eval_percent']
1.1,20.0,0.1932,,1,0.7566,,1,0.057,,1,['eval_percent']
1.1,30.0,0.1892,,1,0.7077,,1,0.0566,,1,['eval_percent']
1.1,40.0,0.1933,,1,0.6737,,1,0.0544,,1,['eval_percent']
1.1,50.0,0.1979,0.0,2,0.6204,0.0,2,0.055,0.0,2,"['eval_by_0.05', 'eval_percent']"
1.1,54.54545454545454,0.2021,,1,0.6427,,1,0.0581,,1,['eval_by_0.05']
1.1,59.09090909090908,0.205,,1,0.6204,,1,0.0583,,1,['eval_by_0.05']
1.1,60.0,0.1912,,1,0.6026,,1,0.0531,,1,['eval_percent']
1.1,63.636363636363626,0.1987,,1,0.5709,,1,0.0518,,1,['eval_by_0.05']
1.1,68.18181818181817,0.1945,,1,0.5736,,1,0.056,,1,['eval_by_0.05']
1.1,70.0,0.1947,,1,0.5655,,1,0.0549,,1,['eval_percent']
1.1,72.72727272727273,0.1875,,1,0.5263,,1,0.0488,,1,['eval_by_0.05']
1.1,77.27272727272727,0.2059,,1,0.5627,,1,0.0558,,1,['eval_by_0.05']
1.1,80.0,0.1878,,1,0.5405,,1,0.0521,,1,['eval_percent']
1.1,81.81818181818181,0.2073,,1,0.5517,,1,0.0519,,1,['eval_by_0.05']
1.1,86.36363636363636,0.1748,,1,0.488,,1,0.0468,,1,['eval_by_0.05']
1.1,90.0,0.1686,,1,0.4444,,1,0.0456,,1,['eval_percent']
1.1,90.9090909090909,0.1949,,1,0.5147,,1,0.0513,,1,['eval_by_0.05']
1.1,95.45454545454545,0.1966,,1,0.5,,1,0.0488,,1,['eval_by_0.05']
1.1,100.0,0.2009,0.0,2,0.488,0.0,2,0.047,0.0,2,"['eval_by_0.05', 'eval_percent']"
1.2,10.0,0.1933,,1,0.7727,,1,0.0495,,1,['eval_percent']
1.2,20.0,0.1907,,1,0.7033,,1,0.0478,,1,['eval_percent']
1.2,30.0,0.1845,,1,0.6714,,1,0.0509,,1,['eval_percent']
1.2,40.0,0.192,,1,0.6103,,1,0.0474,,1,['eval_percent']
1.2,50.0,0.1899,0.0,2,0.6,0.0,2,0.0475,0.0,2,"['eval_by_0.05', 'eval_percent']"
1.2,54.16666666666667,0.1956,,1,0.5922,,1,0.0493,,1,['eval_by_0.05']
1.2,58.333333333333336,0.1904,,1,0.5627,,1,0.0481,,1,['eval_by_0.05']
1.2,60.0,0.1763,,1,0.5176,,1,0.0431,,1,['eval_percent']
1.2,62.5,0.1881,,1,0.5349,,1,0.0461,,1,['eval_by_0.05']
1.2,66.66666666666667,0.1869,,1,0.5234,,1,0.0429,,1,['eval_by_0.05']
1.2,70.0,0.1859,,1,0.5234,,1,0.045,,1,['eval_percent']
1.2,70.83333333333334,0.2126,,1,0.5147,,1,0.0402,,1,['eval_by_0.05']
1.2,75.0,0.1933,,1,0.5089,,1,0.0424,,1,['eval_by_0.05']
1.2,79.16666666666666,0.1843,,1,0.497,,1,0.0447,,1,['eval_by_0.05']
1.2,80.0,0.2003,,1,0.5059,,1,0.0454,,1,['eval_percent']
1.2,83.33333333333334,0.1911,,1,0.491,,1,0.0441,,1,['eval_by_0.05']
1.2,87.50000000000001,0.2078,,1,0.5089,,1,0.0464,,1,['eval_by_0.05']
1.2,90.0,0.1841,,1,0.4315,,1,0.0365,,1,['eval_percent']
1.2,91.66666666666667,0.2006,,1,0.4603,,1,0.0421,,1,['eval_by_0.05']
1.2,95.83333333333333,0.1826,,1,0.4476,,1,0.0397,,1,['eval_by_0.05']
1.2,100.0,0.1946,0.0,2,0.454,0.0,2,0.0382,0.0,2,"['eval_by_0.05', 'eval_percent']"
1.3,10.0,0.196,,1,0.7627,,1,0.046,,1,['eval_percent']
1.3,20.0,0.1964,,1,0.7099,,1,0.0468,,1,['eval_percent']
1.3,30.0,0.1879,,1,0.6452,,1,0.0448,,1,['eval_percent']
1.3,40.0,0.1947,,1,0.6,,1,0.0458,,1,['eval_percent']
1.3,50.0,0.1885,0.0,2,0.5545,0.0,2,0.0428,0.0,2,"['eval_by_0.05', 'eval_percent']"
1.3,53.84615384615385,0.1812,,1,0.5292,,1,0.0388,,1,['eval_by_0.05']
1.3,57.692307692307686,0.1678,,1,0.488,,1,0.0386,,1,['eval_by_0.05']
1.3,60.0,0.195,,1,0.5434,,1,0.0422,,1,['eval_percent']
1.3,61.53846153846154,0.1883,,1,0.5118,,1,0.0397,,1,['eval_by_0.05']
1.3,65.38461538461539,0.2005,,1,0.5118,,1,0.0377,,1,['eval_by_0.05']
1.3,69.23076923076923,0.1894,,1,0.488,,1,0.0364,,1,['eval_by_0.05']
1.3,70.0,0.2011,,1,0.5089,,1,0.0398,,1,['eval_percent']
1.3,73.07692307692307,0.1874,,1,0.488,,1,0.0399,,1,['eval_by_0.05']
1.3,76.92307692307692,0.181,,1,0.4603,,1,0.0382,,1,['eval_by_0.05']
1.3,80.0,0.2011,,1,0.4727,,1,0.041,,1,['eval_percent']
1.3,80.76923076923077,0.191,,1,0.4727,,1,0.0381,,1,['eval_by_0.05']
1.3,84.61538461538461,0.1919,,1,0.4444,,1,0.038,,1,['eval_by_0.05']
1.3,88.46153846153845,0.1826,,1,0.4283,,1,0.0351,,1,['eval_by_0.05']
1.3,90.0,0.2002,,1,0.4508,,1,0.0378,,1,['eval_percent']
1.3,92.3076923076923,0.1755,,1,0.4217,,1,0.0333,,1,['eval_by_0.05']
1.3,96.15384615384615,0.1839,,1,0.4118,,1,0.0342,,1,['eval_by_0.05']
1.3,100.0,0.1829,0.0,2,0.3983,0.0,2,0.0318,0.0,2,"['eval_by_0.05', 'eval_percent']"
1.4,10.0,0.1948,,1,0.7273,,1,0.041,,1,['eval_percent']
1.4,20.0,0.1988,,1,0.6667,,1,0.0394,,1,['eval_percent']
1.4,30.0,0.1978,,1,0.6204,,1,0.0403,,1,['eval_percent']
1.4,40.0,0.1933,,1,0.5682,,1,0.0376,,1,['eval_percent']
1.4,50.0,0.1876,0.0,2,0.5263,0.0,2,0.035,0.0,2,"['eval_by_0.05', 'eval_percent']"
1.4,53.57142857142857,0.1892,,1,0.5205,,1,0.0387,,1,['eval_by_0.05']
1.4,57.14285714285715,0.1947,,1,0.497,,1,0.0363,,1,['eval_by_0.05']
1.4,60.0,0.2049,,1,0.5234,,1,0.0365,,1,['eval_percent']
1.4,60.71428571428572,0.1982,,1,0.503,,1,0.0346,,1,['eval_by_0.05']
1.4,64.28571428571429,0.2057,,1,0.5,,1,0.038,,1,['eval_by_0.05']
1.4,67.85714285714286,0.1809,,1,0.4634,,1,0.0354,,1,['eval_by_0.05']
1.4,70.0,0.1734,,1,0.4348,,1,0.0334,,1,['eval_percent']
1.4,71.42857142857143,0.1877,,1,0.4665,,1,0.0373,,1,['eval_by_0.05']
1.4,75.00000000000001,0.1953,,1,0.4634,,1,0.0363,,1,['eval_by_0.05']
1.4,78.57142857142858,0.201,,1,0.4634,,1,0.0358,,1,['eval_by_0.05']
1.4,80.0,0.1944,,1,0.454,,1,0.0354,,1,['eval_percent']
1.4,82.14285714285714,0.194,,1,0.4283,,1,0.0322,,1,['eval_by_0.05']
1.4,85.71428571428572,0.1909,,1,0.425,,1,0.0316,,1,['eval_by_0.05']
1.4,89.28571428571429,0.2029,,1,0.4476,,1,0.034,,1,['eval_by_0.05']
1.4,90.0,0.1984,,1,0.4118,,1,0.033,,1,['eval_percent']
1.4,92.85714285714288,0.1829,,1,0.4118,,1,0.0309,,1,['eval_by_0.05']
1.4,96.42857142857144,0.2046,,1,0.4184,,1,0.0341,,1,['eval_by_0.05']
1.4,100.0,0.1922,0.0,2,0.3983,0.0,2,0.029,0.0,2,"['eval_by_0.05', 'eval_percent']"
1.5,10.0,0.196,,1,0.701,,1,0.0379,,1,['eval_percent']
1.5,20.0,0.1974,,1,0.6354,,1,0.0374,,1,['eval_percent']
1.5,30.0,0.1946,,1,0.5736,,1,0.0341,,1,['eval_percent']
1.5,40.0,0.1903,,1,0.5147,,1,0.0312,,1,['eval_percent']
1.5,50.0,0.2089,0.0,2,0.5176,0.0,2,0.0362,0.0,2,"['eval_by_0.05', 'eval_percent']"
1.5,53.333333333333336,0.1959,,1,0.488,,1,0.0342,,1,['eval_by_0.05']
1.5,56.666666666666664,0.1917,,1,0.4665,,1,0.0302,,1,['eval_by_0.05']
1.5,60.0,0.2025,0.0,2,0.488,0.0,2,0.0336,0.0,2,"['eval_by_0.05', 'eval_percent']"
1.5,63.33333333333333,0.1854,,1,0.4476,,1,0.0327,,1,['eval_by_0.05']
1.5,66.66666666666666,0.2006,,1,0.454,,1,0.0342,,1,['eval_by_0.05']
1.5,70.0,0.1834,0.0,2,0.425,0.0,2,0.0327,0.0,2,"['eval_by_0.05', 'eval_percent']"
1.5,73.33333333333334,0.2058,,1,0.4603,,1,0.0338,,1,['eval_by_0.05']
1.5,76.66666666666666,0.202,,1,0.4508,,1,0.0307,,1,['eval_by_0.05']
1.5,80.0,0.1927,0.0,2,0.4084,0.0,2,0.0278,0.0,2,"['eval_by_0.05', 'eval_percent']"
1.5,83.33333333333334,0.211,,1,0.4412,,1,0.0334,,1,['eval_by_0.05']
1.5,86.66666666666667,0.1857,,1,0.3983,,1,0.0312,,1,['eval_by_0.05']
1.5,90.0,0.1884,0.0,2,0.3846,0.0,2,0.0289,0.0,2,"['eval_by_0.05', 'eval_percent']"
1.5,93.33333333333333,0.1902,,1,0.3707,,1,0.0269,,1,['eval_by_0.05']
1.5,96.66666666666667,0.1751,,1,0.3636,,1,0.0245,,1,['eval_by_0.05']
1.5,100.0,0.2074,0.0,2,0.3812,0.0,2,0.0317,0.0,2,"['eval_by_0.05', 'eval_percent']"
1.6,10.0,0.1934,,1,0.676,,1,0.034,,1,['eval_percent']
1.6,20.0,0.1899,,1,0.6128,,1,0.0345,,1,['eval_percent']
1.6,30.0,0.2002,,1,0.5843,,1,0.0341,,1,['eval_percent']
1.6,40.0,0.1743,,1,0.488,,1,0.0297,,1,['eval_percent']
1.6,50.0,0.1999,0.0,2,0.491,0.0,2,0.0313,0.0,2,"['eval_by_0.05', 'eval_percent']"
1.6,53.125,0.1958,,1,0.491,,1,0.0303,,1,['eval_by_0.05']
1.6,56.25,0.2097,,1,0.5,,1,0.0315,,1,['eval_by_0.05']
1.6,59.374999999999986,0.1757,,1,0.438,,1,0.0282,,1,['eval_by_0.05']
1.6,60.0,0.2058,,1,0.4727,,1,0.0331,,1,['eval_percent']
1.6,62.5,0.197,,1,0.4665,,1,0.0326,,1,['eval_by_0.05']
1.6,65.625,0.1936,,1,0.4444,,1,0.0297,,1,['eval_by_0.05']
1.6,68.75,0.1964,,1,0.4217,,1,0.0298,,1,['eval_by_0.05']
1.6,70.0,0.1902,,1,0.4476,,1,0.0317,,1,['eval_percent']
1.6,71.87499999999999,0.2036,,1,0.4571,,1,0.029,,1,['eval_by_0.05']
1.6,74.99999999999999,0.2093,,1,0.4476,,1,0.0283,,1,['eval_by_0.05']
1.6,78.125,0.1986,,1,0.4084,,1,0.0291,,1,['eval_by_0.05']
1.6,80.0,0.1722,,1,0.3529,,1,0.0242,,1,['eval_percent']
1.6,81.25,0.2014,,1,0.3983,,1,0.0292,,1,['eval_by_0.05']
1.6,84.375,0.2059,,1,0.4118,,1,0.0289,,1,['eval_by_0.05']
1.6,87.49999999999999,0.1933,,1,0.3742,,1,0.0251,,1,['eval_by_0.05']
1.6,90.0,0.1858,,1,0.3812,,1,0.0255,,1,['eval_percent']
1.6,90.62499999999999,0.1934,,1,0.3707,,1,0.0253,,1,['eval_by_0.05']
1.6,93.75,0.2102,,1,0.3983,,1,0.0303,,1,['eval_by_0.05']
1.6,96.875,0.1989,,1,0.3742,,1,0.0263,,1,['eval_by_0.05']
1.6,100.0,0.1794,0.0,2,0.3311,0.0,2,0.0238,0.0,2,"['eval_by_0.05', 'eval_percent']"
1.7,10.0,0.1888,,1,0.6279,,1,0.0317,,1,['eval_percent']
1.7,20.0,0.1927,,1,0.5869,,1,0.0318,,1,['eval_percent']
1.7,30.0,0.1898,,1,0.5462,,1,0.0299,,1,['eval_percent']
1.7,40.0,0.1891,,1,0.5059,,1,0.0291,,1,['eval_percent']
1.7,50.0,0.1798,0.0,2,0.4444,0.0,2,0.026,0.0,2,"['eval_by_0.05', 'eval_percent']"
1.7,52.94117647058824,0.1913,,1,0.4571,,1,0.0279,,1,['eval_by_0.05']
1.7,55.88235294117647,0.1795,,1,0.425,,1,0.0263,,1,['eval_by_0.05']
1.7,58.82352941176471,0.1728,,1,0.425,,1,0.0274,,1,['eval_by_0.05']
1.7,60.0,0.1949,,1,0.438,,1,0.0284,,1,['eval_percent']
1.7,61.76470588235294,0.1868,,1,0.4217,,1,0.0265,,1,['eval_by_0.05']
1.7,64.70588235294117,0.1908,,1,0.4017,,1,0.0279,,1,['eval_by_0.05']
1.7,67.6470588235294,0.2019,,1,0.438,,1,0.0269,,1,['eval_by_0.05']
1.7,70.0,0.1808,,1,0.3983,,1,0.0248,,1,['eval_percent']
1.7,70.58823529411765,0.2016,,1,0.425,,1,0.0252,,1,['eval_by_0.05']
1.7,73.52941176470588,0.1803,,1,0.3846,,1,0.0265,,1,['eval_by_0.05']
1.7,76.47058823529413,0.1906,,1,0.3812,,1,0.0241,,1,['eval_by_0.05']
1.7,79.41176470588236,0.1955,,1,0.3881,,1,0.0261,,1,['eval_by_0.05']
1.7,80.0,0.1789,,1,0.3881,,1,0.0268,,1,['eval_percent']
1.7,82.35294117647058,0.1862,,1,0.3672,,1,0.0231,,1,['eval_by_0.05']
1.7,85.29411764705883,0.184,,1,0.3385,,1,0.0227,,1,['eval_by_0.05']
1.7,88.23529411764706,0.191,,1,0.3812,,1,0.027,,1,['eval_by_0.05']
1.7,90.0,0.202,,1,0.3812,,1,0.0239,,1,['eval_percent']
1.7,91.1764705882353,0.1715,,1,0.3311,,1,0.0228,,1,['eval_by_0.05']
1.7,94.11764705882354,0.1938,,1,0.3565,,1,0.0237,,1,['eval_by_0.05']
1.7,97.05882352941177,0.1793,,1,0.32,,1,0.0222,,1,['eval_by_0.05']
1.7,100.0,0.1772,0.0,2,0.3087,0.0,2,0.0229,0.0,2,"['eval_by_0.05', 'eval_percent']"
1.8,10.0,0.1912,,1,0.6378,,1,0.0314,,1,['eval_percent']
1.8,20.0,0.1909,,1,0.5816,,1,0.0289,,1,['eval_percent']
1.8,30.0,0.1983,,1,0.5205,,1,0.0267,,1,['eval_percent']
1.8,40.0,0.1865,,1,0.4758,,1,0.025,,1,['eval_percent']
1.8,50.0,0.1902,0.0,2,0.4444,0.0,2,0.0252,0.0,2,"['eval_by_0.05', 'eval_percent']"
1.8,52.77777777777778,0.1826,,1,0.4283,,1,0.0238,,1,['eval_by_0.05']
1.8,55.55555555555556,0.1703,,1,0.4151,,1,0.0265,,1,['eval_by_0.05']
1.8,58.333333333333336,0.1962,,1,0.4348,,1,0.0258,,1,['eval_by_0.05']
1.8,60.0,0.1917,,1,0.4151,,1,0.0233,,1,['eval_percent']
1.8,61.111111111111114,0.1874,,1,0.3949,,1,0.0251,,1,['eval_by_0.05']
1.8,63.888888888888886,0.1816,,1,0.4084,,1,0.0229,,1,['eval_by_0.05']
1.8,66.66666666666666,0.1851,,1,0.4017,,1,0.0251,,1,['eval_by_0.05']
1.8,69.44444444444444,0.1795,,1,0.3983,,1,0.026,,1,['eval_by_0.05']
1.8,70.0,0.1919,,1,0.3915,,1,0.0237,,1,['eval_percent']
1.8,72.22222222222221,0.1778,,1,0.3601,,1,0.0222,,1,['eval_by_0.05']
1.8,75.0,0.1943,,1,0.3983,,1,0.0253,,1,['eval_by_0.05']
1.8,77.77777777777777,0.1756,,1,0.3457,,1,0.0212,,1,['eval_by_0.05']
