eval_type,window_size,stride_name,word_binary_f1,word_multiclass_f1,word_gt_count,word_pred_count,vad_binary_f1,vad_multiclass_f1,vad_combined_iou,vad_duration,f1_difference,f1_percent_change
eval_percent,1.3,stride_40.0%,0.6,0.4704,378,763,0.358,0.293,0.206,17.80341386795044,-0.242,-40.33333333333333
eval_percent,1.3,stride_50.0%,0.5545,0.4436,378,701,0.363,0.303,0.1908,16.952894687652588,-0.1915,-34.53561767357981
eval_percent,1.3,stride_60.0%,0.5434,0.4509,378,646,0.354,0.306,0.1949,15.910944700241089,-0.1894,-34.85461906514538
eval_percent,1.3,stride_70.0%,0.5089,0.4181,378,586,0.358,0.306,0.2553,15.283974409103394,-0.15090000000000003,-29.65219100019651
eval_percent,1.3,stride_80.0%,0.4727,0.3758,378,535,0.345,0.292,0.2308,14.574428796768188,-0.12770000000000004,-27.015020097313315
eval_percent,1.3,stride_90.0%,0.4508,0.3607,378,493,0.347,0.293,0.2172,14.168952941894531,-0.1038,-23.025732031943214
eval_percent,1.4,stride_10.0%,0.7273,0.5152,378,996,0.392,0.296,0.1549,22.278063774108887,-0.33529999999999993,-46.10202117420596
eval_percent,1.4,stride_100.0%,0.3983,0.3093,378,396,0.33,0.272,0.3202,13.326963186264038,-0.06829999999999997,-17.147878483555104
eval_percent,1.4,stride_20.0%,0.6667,0.4832,378,853,0.382,0.295,0.1524,19.89625382423401,-0.28469999999999995,-42.70286485675715
eval_percent,1.4,stride_30.0%,0.6204,0.4927,378,749,0.377,0.314,0.1661,18.16839599609375,-0.24339999999999995,-39.23275306254029
eval_percent,1.4,stride_40.0%,0.5682,0.4242,378,682,0.375,0.302,0.1636,16.854230403900146,-0.19320000000000004,-34.00211193241817
eval_percent,1.4,stride_50.0%,0.5263,0.4016,378,598,0.366,0.299,0.312,16.691549062728882,-0.1603,-30.457913737412124
eval_percent,1.4,stride_60.0%,0.5234,0.4102,378,570,0.366,0.304,0.1661,16.16724395751953,-0.15739999999999998,-30.072602216278177
eval_percent,1.4,stride_70.0%,0.4348,0.3313,378,511,0.348,0.283,0.1609,15.448115587234495,-0.08680000000000004,-19.96320147194113
eval_percent,1.4,stride_80.0%,0.454,0.3722,378,477,0.347,0.297,0.1702,15.889098644256592,-0.10700000000000004,-23.568281938326
eval_percent,1.4,stride_90.0%,0.4118,0.3361,378,411,0.341,0.294,0.2124,14.780240058898926,-0.07079999999999997,-17.19281204468188
eval_percent,1.5,stride_10.0%,0.701,0.5189,378,886,0.385,0.301,0.1692,23.551780939102173,-0.31599999999999995,-45.07845934379458
eval_percent,1.5,stride_100.0%,0.3812,0.3298,378,347,0.332,0.293,0.1748,15.036388397216797,-0.049199999999999966,-12.906610703043015
eval_percent,1.5,stride_20.0%,0.6354,0.4946,378,738,0.38,0.307,0.1664,20.44099497795105,-0.25539999999999996,-40.195152659741886
eval_percent,1.5,stride_30.0%,0.5736,0.4528,378,657,0.369,0.301,0.1932,18.634746074676517,-0.2046,-35.66945606694561
eval_percent,1.5,stride_40.0%,0.5147,0.4165,378,583,0.36,0.302,0.1826,16.332247257232666,-0.15470000000000006,-30.056343501068593
eval_percent,1.5,stride_50.0%,0.5176,0.4314,378,517,0.348,0.294,0.2172,15.18056607246399,-0.16959999999999997,-32.766615146831526
eval_percent,1.5,stride_60.0%,0.488,0.392,378,511,0.362,0.307,0.1989,14.864954710006714,-0.126,-25.81967213114754
eval_percent,1.5,stride_70.0%,0.425,0.35,378,457,0.341,0.286,0.1939,14.203327894210815,-0.08399999999999996,-19.764705882352935
eval_percent,1.5,stride_80.0%,0.4084,0.3411,378,391,0.343,0.293,0.1943,13.387739896774292,-0.06539999999999996,-16.013712047012724
eval_percent,1.5,stride_90.0%,0.3846,0.3333,378,379,0.335,0.295,0.1662,13.298115730285645,-0.04959999999999998,-12.89651586063442
eval_percent,1.6,stride_10.0%,0.676,0.4834,378,762,0.389,0.299,0.1907,19.87004923820496,-0.28700000000000003,-42.455621301775146
eval_percent,1.6,stride_100.0%,0.3311,0.2737,378,313,0.333,0.286,0.1923,12.902468204498293,0.0019000000000000128,0.5738447598912754
eval_percent,1.6,stride_20.0%,0.6128,0.4661,378,651,0.374,0.295,0.171,18.17230653762817,-0.2388,-38.96866840731071
eval_percent,1.6,stride_30.0%,0.5843,0.4457,378,591,0.387,0.314,0.1978,17.220966339111328,-0.19730000000000003,-33.76690056477837
eval_percent,1.6,stride_40.0%,0.488,0.392,378,523,0.347,0.284,0.2165,16.15194082260132,-0.14100000000000001,-28.893442622950822
