eval_type,window_size,stride_value,stride_type,stride_label,success,error,duration,worker_id,combined_mean_iou,binary_f1,multiclass_f1
eval_percent,1.3,90.0,percentage,90.0%,True,,93.46619915962219,2,12.78,0.37,0.36
eval_percent,1.3,80.0,percentage,80.0%,True,,100.57019400596619,1,13.52,0.37,0.36
eval_percent,1.3,10.0,percentage,10.0%,False,Process timeout (10 minutes),600.0,1,,,
eval_by_0.05,1.3,0.65,absolute,0.65s,True,,145.46493530273438,3,9.83,0.36,0.36
eval_by_0.05,1.3,0.75,absolute,0.75s,True,,135.48017477989197,4,12.37,0.37,0.37
eval_by_0.05,1.3,0.7,absolute,0.7s,True,,138.95746111869812,1,10.53,0.36,0.35
eval_by_0.05,1.3,0.85,absolute,0.85s,True,,115.30649304389954,2,9.78,0.36,0.35
eval_by_0.05,1.3,0.95,absolute,0.95s,True,,107.18927216529846,4,12.08,0.36,0.36
eval_by_0.05,1.3,0.8,absolute,0.8s,True,,120.23847126960754,3,10.98,0.36,0.35
eval_by_0.05,1.3,1.05,absolute,1.05s,True,,102.95583605766296,2,10.53,0.36,0.36
eval_by_0.05,1.3,0.9,absolute,0.9s,True,,113.44614005088806,1,11.24,0.37,0.36
eval_by_0.05,1.3,1.0,absolute,1.0s,True,,99.56662964820862,3,12.74,0.37,0.36
eval_by_0.05,1.3,1.15,absolute,1.15s,True,,94.83832287788391,4,15.17,0.38,0.37
eval_by_0.05,1.3,1.25,absolute,1.25s,True,,90.88639521598816,2,14.8,0.37,0.37
eval_by_0.05,1.3,1.1,absolute,1.1s,True,,96.47547888755798,1,15.07,0.36,0.36
eval_by_0.05,1.3,1.2,absolute,1.2s,True,,78.82804489135742,3,9.61,0.37,0.36
eval_by_0.05,1.3,1.3,absolute,1.3s,True,,75.31002974510193,4,13.7,0.38,0.38
eval_percent,1.2,100.0,percentage,100.0%,True,,96.57085371017456,2,9.37,0.37,0.36
eval_percent,1.2,40.0,percentage,40.0%,True,,222.28943061828613,1,13.81,0.36,0.36
eval_percent,1.2,30.0,percentage,30.0%,True,,278.2500550746918,4,10.65,0.36,0.35
eval_percent,1.2,20.0,percentage,20.0%,True,,407.2335228919983,3,10.35,0.36,0.35
eval_percent,1.2,50.0,percentage,50.0%,True,,171.56995487213135,2,11.28,0.36,0.36
eval_percent,1.2,60.0,percentage,60.0%,True,,145.46994519233704,3,11.68,0.36,0.36
eval_percent,1.2,10.0,percentage,10.0%,False,Process timeout (10 minutes),600.0,1,,,
eval_percent,1.2,70.0,percentage,70.0%,True,,121.17175078392029,4,12.31,0.36,0.35
eval_percent,1.2,90.0,percentage,90.0%,True,,106.41414046287537,2,13.69,0.37,0.37
eval_percent,1.2,80.0,percentage,80.0%,True,,113.14224529266357,1,11.69,0.37,0.36
eval_by_0.05,1.2,0.75,absolute,0.75s,True,,146.13860964775085,1,10.93,0.37,0.37
eval_by_0.05,1.2,0.7,absolute,0.7s,True,,153.09001398086548,2,11.35,0.36,0.36
eval_by_0.05,1.2,0.65,absolute,0.65s,True,,160.49161624908447,3,11.61,0.36,0.35
eval_by_0.05,1.2,0.6,absolute,0.6s,True,,166.37832117080688,4,11.28,0.36,0.36
eval_by_0.05,1.2,0.85,absolute,0.85s,True,,121.6172935962677,3,9.25,0.36,0.36
eval_by_0.05,1.2,0.95,absolute,0.95s,True,,115.94794273376465,1,12.65,0.36,0.36
eval_by_0.05,1.2,0.9,absolute,0.9s,True,,117.22895383834839,2,14.03,0.37,0.36
eval_by_0.05,1.2,0.8,absolute,0.8s,True,,127.90680384635925,4,10.34,0.36,0.35
eval_by_0.05,1.2,1.05,absolute,1.05s,True,,98.38927221298218,3,14.74,0.37,0.37
eval_by_0.05,1.2,1.0,absolute,1.0s,True,,103.84929323196411,4,12.1,0.37,0.36
eval_by_0.05,1.2,1.15,absolute,1.15s,True,,97.14185643196106,1,13.71,0.37,0.37
eval_by_0.05,1.2,1.1,absolute,1.1s,True,,98.46187543869019,2,12.73,0.37,0.36
eval_by_0.05,1.2,1.2,absolute,1.2s,True,,82.75444722175598,3,9.37,0.37,0.36
eval_percent,1.1,100.0,percentage,100.0%,True,,101.97719097137451,1,14.55,0.36,0.36
eval_percent,1.1,40.0,percentage,40.0%,True,,239.52654719352722,4,11.35,0.36,0.35
