eval_type,window_size,window_name,stride_info,stride_name,success,duration_seconds,worker_id,combined_iou,binary_f1,multiclass_f1
eval_by_0.05,1.5,window_1.5s,1.5s,stride_1.5s,True,14.138145208358765,3,0.1748,0.332,0.293
eval_by_0.05,1.6,window_1.6s,0.85s,stride_0.85s,True,16.288850784301758,4,0.1998,0.363,0.293
eval_by_0.05,1.6,window_1.6s,0.8s,stride_0.8s,True,16.691834688186646,1,0.1825,0.364,0.307
eval_by_0.05,1.6,window_1.6s,0.95s,stride_0.95s,True,16.011717319488525,2,0.1791,0.355,0.295
eval_by_0.05,1.6,window_1.6s,0.9s,stride_0.9s,True,16.672356128692627,3,0.2342,0.367,0.302
eval_by_0.05,1.6,window_1.6s,1.05s,stride_1.05s,True,15.793593645095825,4,0.1755,0.352,0.285
eval_by_0.05,1.6,window_1.6s,1.0s,stride_1.0s,True,15.24042534828186,1,0.168,0.355,0.3
eval_by_0.05,1.6,window_1.6s,1.15s,stride_1.15s,True,15.344377517700195,2,0.1877,0.348,0.289
eval_by_0.05,1.6,window_1.6s,1.1s,stride_1.1s,True,15.154977321624756,3,0.2147,0.354,0.292
eval_by_0.05,1.6,window_1.6s,1.25s,stride_1.25s,True,14.483110666275024,4,0.2773,0.353,0.3
eval_by_0.05,1.6,window_1.6s,1.2s,stride_1.2s,True,14.984265804290771,1,0.1872,0.366,0.309
eval_by_0.05,1.6,window_1.6s,1.35s,stride_1.35s,True,14.799680471420288,2,0.209,0.342,0.293
eval_by_0.05,1.6,window_1.6s,1.3s,stride_1.3s,True,14.722692489624023,3,0.2195,0.354,0.292
eval_by_0.05,1.6,window_1.6s,1.45s,stride_1.45s,True,14.2092924118042,4,0.196,0.33,0.286
eval_by_0.05,1.6,window_1.6s,1.4s,stride_1.4s,True,14.19144320487976,1,0.163,0.337,0.281
eval_by_0.05,1.6,window_1.6s,1.55s,stride_1.55s,True,14.054641246795654,2,0.3188,0.353,0.305
eval_by_0.05,1.6,window_1.6s,1.5s,stride_1.5s,True,13.807021141052246,3,0.1705,0.348,0.301
eval_by_0.05,1.6,window_1.6s,1.6s,stride_1.6s,True,13.870942831039429,4,0.1923,0.333,0.286
eval_by_0.05,1.7,window_1.7s,0.85s,stride_0.85s,True,15.687644720077515,1,0.1393,0.353,0.291
eval_by_0.05,1.7,window_1.7s,0.95s,stride_0.95s,True,15.63001036643982,2,0.1727,0.351,0.285
eval_by_0.05,1.7,window_1.7s,0.9s,stride_0.9s,True,15.655373334884644,3,0.2327,0.358,0.298
eval_by_0.05,1.7,window_1.7s,1.05s,stride_1.05s,True,15.672605752944946,4,0.1884,0.347,0.28
eval_by_0.05,1.7,window_1.7s,1.0s,stride_1.0s,True,15.27513599395752,1,0.1741,0.339,0.288
eval_by_0.05,1.7,window_1.7s,1.15s,stride_1.15s,True,15.596420526504517,2,0.1777,0.358,0.295
eval_by_0.05,1.7,window_1.7s,1.1s,stride_1.1s,True,15.673689126968384,3,0.1929,0.346,0.295
eval_by_0.05,1.7,window_1.7s,1.25s,stride_1.25s,True,15.043996572494507,4,0.1495,0.341,0.287
eval_by_0.05,1.7,window_1.7s,1.2s,stride_1.2s,True,15.644781112670898,1,0.1505,0.358,0.291
eval_by_0.05,1.7,window_1.7s,1.35s,stride_1.35s,True,15.058623790740967,2,0.1671,0.344,0.289
eval_by_0.05,1.7,window_1.7s,1.3s,stride_1.3s,True,15.057904958724976,3,0.1677,0.342,0.282
eval_by_0.05,1.7,window_1.7s,1.45s,stride_1.45s,True,14.759058475494385,4,0.2103,0.322,0.273
eval_by_0.05,1.7,window_1.7s,1.4s,stride_1.4s,True,14.76822566986084,1,0.1886,0.333,0.278
eval_by_0.05,1.7,window_1.7s,1.55s,stride_1.55s,True,14.235317707061768,2,0.3234,0.343,0.292
eval_by_0.05,1.7,window_1.7s,1.5s,stride_1.5s,True,14.33957839012146,3,0.1777,0.343,0.292
eval_by_0.05,1.7,window_1.7s,1.65s,stride_1.65s,True,14.019248485565186,4,0.1868,0.336,0.294
eval_by_0.05,1.7,window_1.7s,1.6s,stride_1.6s,True,14.326310873031616,1,0.2408,0.338,0.279
eval_by_0.05,1.7,window_1.7s,1.7s,stride_1.7s,True,14.125993490219116,2,0.1619,0.329,0.294
eval_by_0.05,1.8,window_1.8s,0.95s,stride_0.95s,True,16.33500647544861,3,0.1455,0.346,0.278
eval_by_0.05,1.8,window_1.8s,0.9s,stride_0.9s,True,16.111228466033936,4,0.2312,0.361,0.302
eval_by_0.05,1.8,window_1.8s,1.05s,stride_1.05s,True,16.045612335205078,1,0.2327,0.356,0.291
eval_by_0.05,1.8,window_1.8s,1.0s,stride_1.0s,True,15.759844064712524,2,0.1748,0.344,0.286
eval_by_0.05,1.8,window_1.8s,1.15s,stride_1.15s,True,15.548673391342163,3,0.171,0.353,0.292
eval_by_0.05,1.8,window_1.8s,1.1s,stride_1.1s,True,15.314041137695312,4,0.18,0.347,0.294
eval_by_0.05,1.8,window_1.8s,1.25s,stride_1.25s,True,14.905755519866943,1,0.1501,0.36,0.305
eval_by_0.05,1.8,window_1.8s,1.2s,stride_1.2s,True,14.72852110862732,2,0.1614,0.358,0.3
eval_by_0.05,1.8,window_1.8s,1.35s,stride_1.35s,True,14.759623765945435,3,0.1601,0.35,0.303
eval_by_0.05,1.8,window_1.8s,1.3s,stride_1.3s,True,14.53131890296936,4,0.1559,0.336,0.284
eval_by_0.05,1.8,window_1.8s,1.45s,stride_1.45s,True,14.630527019500732,1,0.1965,0.347,0.296
eval_by_0.05,1.8,window_1.8s,1.4s,stride_1.4s,True,14.429618835449219,2,0.1963,0.336,0.281
eval_by_0.05,1.8,window_1.8s,1.55s,stride_1.55s,True,14.587149381637573,3,0.2636,0.338,0.279
eval_by_0.05,1.8,window_1.8s,1.5s,stride_1.5s,True,14.545700788497925,4,0.1919,0.351,0.295
eval_by_0.05,1.8,window_1.8s,1.65s,stride_1.65s,True,13.985992431640625,1,0.2586,0.337,0.284
eval_by_0.05,1.8,window_1.8s,1.6s,stride_1.6s,True,14.127347469329834,2,0.297,0.33,0.281
eval_by_0.05,1.8,window_1.8s,1.75s,stride_1.75s,True,13.519951105117798,3,0.1946,0.336,0.283
eval_by_0.05,1.8,window_1.8s,1.7s,stride_1.7s,True,13.647518634796143,4,0.1659,0.324,0.289
eval_by_0.05,1.8,window_1.8s,1.8s,stride_1.8s,True,13.718777894973755,1,0.1602,0.345,0.293
eval_by_0.05,1.9,window_1.9s,0.95s,stride_0.95s,True,15.929337978363037,2,0.3169,0.349,0.284
eval_by_0.05,1.9,window_1.9s,1.05s,stride_1.05s,True,16.03538465499878,3,0.2814,0.35,0.289
eval_by_0.05,1.9,window_1.9s,1.0s,stride_1.0s,True,15.783605337142944,4,0.177,0.337,0.289
eval_by_0.05,1.9,window_1.9s,1.15s,stride_1.15s,True,15.66485595703125,1,0.1633,0.34,0.29
eval_by_0.05,1.9,window_1.9s,1.1s,stride_1.1s,True,15.241076231002808,2,0.1747,0.344,0.291
eval_by_0.05,1.9,window_1.9s,1.25s,stride_1.25s,True,15.15485143661499,3,0.1573,0.359,0.305
eval_by_0.05,1.9,window_1.9s,1.2s,stride_1.2s,True,14.739595413208008,4,0.1494,0.336,0.286
eval_by_0.05,1.9,window_1.9s,1.35s,stride_1.35s,True,14.789289712905884,1,0.1628,0.339,0.292
eval_by_0.05,1.9,window_1.9s,1.3s,stride_1.3s,True,14.669917583465576,2,0.1626,0.336,0.284
eval_by_0.05,1.9,window_1.9s,1.45s,stride_1.45s,True,14.187231302261353,3,0.1967,0.331,0.295
eval_by_0.05,1.9,window_1.9s,1.4s,stride_1.4s,True,14.376708745956421,4,0.1697,0.322,0.272
eval_by_0.05,1.9,window_1.9s,1.55s,stride_1.55s,True,14.254788875579834,1,0.1808,0.346,0.295
eval_by_0.05,1.9,window_1.9s,1.5s,stride_1.5s,True,14.82429027557373,2,0.1813,0.34,0.289
eval_by_0.05,1.9,window_1.9s,1.65s,stride_1.65s,True,14.344894409179688,3,0.2079,0.342,0.289
eval_by_0.05,1.9,window_1.9s,1.6s,stride_1.6s,True,14.204416990280151,4,0.3023,0.322,0.272
eval_by_0.05,1.9,window_1.9s,1.75s,stride_1.75s,True,13.696892023086548,1,0.1976,0.325,0.285
eval_by_0.05,1.9,window_1.9s,1.7s,stride_1.7s,True,13.71327543258667,2,0.1578,0.316,0.283
eval_by_0.05,1.9,window_1.9s,1.85s,stride_1.85s,True,13.869277715682983,3,0.16,0.337,0.284
eval_by_0.05,1.9,window_1.9s,1.8s,stride_1.8s,True,13.63812518119812,4,0.1496,0.326,0.277
eval_by_0.05,1.9,window_1.9s,1.9s,stride_1.9s,True,13.575338363647461,1,0.3211,0.325,0.272
eval_by_0.05,2.0,window_2.0s,1.05s,stride_1.05s,True,15.172679901123047,2,0.3005,0.347,0.29
eval_by_0.05,2.0,window_2.0s,1.0s,stride_1.0s,True,14.82986831665039,3,0.1589,0.35,0.297
eval_by_0.05,2.0,window_2.0s,1.15s,stride_1.15s,True,14.543893575668335,4,0.187,0.339,0.296
eval_by_0.05,2.0,window_2.0s,1.1s,stride_1.1s,True,14.567322015762329,1,0.1618,0.347,0.294
eval_by_0.05,2.0,window_2.0s,1.25s,stride_1.25s,True,14.360561609268188,2,0.166,0.352,0.3
eval_by_0.05,2.0,window_2.0s,1.2s,stride_1.2s,True,14.490202903747559,3,0.1931,0.335,0.294
eval_by_0.05,2.0,window_2.0s,1.35s,stride_1.35s,True,14.361911058425903,4,0.1714,0.341,0.292
eval_by_0.05,2.0,window_2.0s,1.3s,stride_1.3s,True,13.920063495635986,1,0.1534,0.331,0.278
eval_by_0.05,2.0,window_2.0s,1.45s,stride_1.45s,True,13.439092636108398,2,0.1547,0.348,0.3
eval_by_0.05,2.0,window_2.0s,1.4s,stride_1.4s,True,13.720611572265625,3,0.1788,0.332,0.277
eval_by_0.05,2.0,window_2.0s,1.55s,stride_1.55s,True,13.42320203781128,4,0.1862,0.325,0.28
eval_by_0.05,2.0,window_2.0s,1.5s,stride_1.5s,True,13.790184259414673,1,0.1724,0.33,0.286
eval_by_0.05,2.0,window_2.0s,1.65s,stride_1.65s,True,13.446976900100708,2,0.2237,0.341,0.287
eval_by_0.05,2.0,window_2.0s,1.75s,stride_1.75s,True,13.195011854171753,4,0.187,0.327,0.277
eval_by_0.05,2.0,window_2.0s,1.6s,stride_1.6s,True,13.6228609085083,3,0.1574,0.334,0.287
