eval_type,window,stride,success,duration_seconds,worker_id,window_f1,word_f1,combined_iou
eval_by_0.05,window_1.4s,stride_1.3s,True,193.75340247154236,2,0.1829,0.4118,0.0309
eval_by_0.05,window_1.4s,stride_1.4s,True,177.5220286846161,3,0.1922,0.3983,0.029
eval_by_0.05,window_1.5s,stride_0.85s,True,316.07954263687134,1,0.1917,0.4665,0.0302
eval_by_0.05,window_1.5s,stride_0.75s,True,347.89373087882996,4,0.2089,0.5176,0.0362
eval_by_0.05,window_1.5s,stride_0.8s,True,319.88143014907837,2,0.1959,0.488,0.0342
eval_by_0.05,window_1.5s,stride_0.95s,True,278.0672330856323,3,0.1854,0.4476,0.0327
eval_by_0.05,window_1.5s,stride_1.05s,True,249.98534607887268,1,0.1834,0.425,0.0327
eval_by_0.05,window_1.5s,stride_0.9s,True,283.439355134964,4,0.2025,0.488,0.0336
eval_by_0.05,window_1.5s,stride_1.15s,True,231.59546947479248,3,0.202,0.4508,0.0307
eval_by_0.05,window_1.5s,stride_1.0s,True,256.6499185562134,2,0.2006,0.454,0.0342
eval_by_0.05,window_1.5s,stride_1.25s,True,215.38880062103271,1,0.211,0.4412,0.0334
eval_by_0.05,window_1.5s,stride_1.1s,True,236.32953906059265,4,0.2058,0.4603,0.0338
eval_by_0.05,window_1.5s,stride_1.2s,True,218.27828168869019,2,0.1927,0.4084,0.0278
eval_by_0.05,window_1.5s,stride_1.35s,True,200.32145977020264,3,0.1884,0.3846,0.0289
eval_by_0.05,window_1.5s,stride_1.45s,True,190.51983976364136,1,0.1751,0.3636,0.0245
eval_by_0.05,window_1.5s,stride_1.3s,True,201.1332700252533,4,0.1857,0.3983,0.0312
eval_by_0.05,window_1.5s,stride_1.5s,True,187.26730608940125,3,0.2074,0.3812,0.0317
eval_by_0.05,window_1.5s,stride_1.4s,True,191.5077042579651,2,0.1902,0.3707,0.0269
eval_by_0.05,window_1.6s,stride_0.85s,True,314.57975792884827,4,0.1958,0.491,0.0303
eval_by_0.05,window_1.6s,stride_0.95s,True,299.07344698905945,2,0.1757,0.438,0.0282
eval_by_0.05,window_1.6s,stride_0.8s,True,329.58967661857605,1,0.1999,0.491,0.0313
eval_by_0.05,window_1.6s,stride_0.9s,True,307.692241191864,3,0.2097,0.5,0.0315
eval_by_0.05,window_1.6s,stride_1.05s,True,257.9387352466583,4,0.1936,0.4444,0.0297
eval_by_0.05,window_1.6s,stride_1.15s,True,255.47041201591492,2,0.2036,0.4571,0.029
eval_by_0.05,window_1.6s,stride_1.1s,True,257.77512192726135,3,0.1964,0.4217,0.0298
eval_by_0.05,window_1.6s,stride_1.0s,True,271.9466257095337,1,0.197,0.4665,0.0326
eval_by_0.05,window_1.6s,stride_1.25s,True,212.73423099517822,4,0.1986,0.4084,0.0291
eval_by_0.05,window_1.6s,stride_1.35s,True,218.02209067344666,2,0.2059,0.4118,0.0289
eval_by_0.05,window_1.6s,stride_1.2s,True,231.52826738357544,1,0.2093,0.4476,0.0283
eval_by_0.05,window_1.6s,stride_1.3s,True,221.12071466445923,3,0.2014,0.3983,0.0292
eval_by_0.05,window_1.6s,stride_1.45s,True,173.0427942276001,4,0.1934,0.3707,0.0253
eval_by_0.05,window_1.6s,stride_1.55s,True,190.23592686653137,2,0.1989,0.3742,0.0263
eval_by_0.05,window_1.6s,stride_1.5s,True,195.9270215034485,3,0.2102,0.3983,0.0303
eval_by_0.05,window_1.6s,stride_1.4s,True,201.46294975280762,1,0.1933,0.3742,0.0251
eval_by_0.05,window_1.6s,stride_1.6s,True,151.41133856773376,4,0.1794,0.3311,0.0238
eval_by_0.05,window_1.7s,stride_0.95s,True,298.4116108417511,2,0.1795,0.425,0.0263
eval_by_0.05,window_1.7s,stride_0.85s,True,314.52166390419006,1,0.1798,0.4444,0.026
eval_by_0.05,window_1.7s,stride_0.9s,True,307.17548394203186,3,0.1913,0.4571,0.0279
eval_by_0.05,window_1.7s,stride_1.05s,True,241.7577486038208,4,0.1868,0.4217,0.0265
eval_by_0.05,window_1.7s,stride_1.15s,True,249.4682376384735,2,0.2019,0.438,0.0269
eval_by_0.05,window_1.7s,stride_1.1s,True,257.0942454338074,3,0.1908,0.4017,0.0279
eval_by_0.05,window_1.7s,stride_1.0s,True,266.6564373970032,1,0.1728,0.425,0.0274
eval_by_0.05,window_1.7s,stride_1.25s,True,231.67116379737854,4,0.1803,0.3846,0.0265
eval_by_0.05,window_1.7s,stride_1.45s,True,211.75294971466064,4,0.184,0.3385,0.0227
eval_by_0.05,window_1.7s,stride_1.35s,True,221.1444215774536,2,0.1955,0.3881,0.0261
eval_by_0.05,window_1.7s,stride_1.2s,True,230.554137468338,1,0.2016,0.425,0.0252
eval_by_0.05,window_1.7s,stride_1.3s,True,224.80004239082336,3,0.1906,0.3812,0.0241
eval_by_0.05,window_1.7s,stride_1.65s,True,191.35827732086182,4,0.1793,0.32,0.0222
eval_by_0.05,window_1.7s,stride_1.55s,True,196.08031392097473,2,0.1715,0.3311,0.0228
eval_by_0.05,window_1.7s,stride_1.4s,True,204.48007774353027,1,0.1862,0.3672,0.0231
eval_by_0.05,window_1.7s,stride_1.5s,True,199.15552473068237,3,0.191,0.3812,0.027
eval_by_0.05,window_1.7s,stride_1.7s,True,179.24441194534302,2,0.1772,0.3087,0.0229
eval_by_0.05,window_1.7s,stride_1.6s,True,186.75406050682068,1,0.1938,0.3565,0.0237
eval_by_0.05,window_1.8s,stride_0.95s,True,279.2671146392822,3,0.1826,0.4283,0.0238
eval_by_0.05,window_1.8s,stride_0.9s,True,291.80677604675293,4,0.1902,0.4444,0.0252
eval_by_0.05,window_1.8s,stride_1.05s,True,251.91183233261108,1,0.1962,0.4348,0.0258
eval_by_0.05,window_1.8s,stride_1.0s,True,261.4683940410614,2,0.1703,0.4151,0.0265
eval_by_0.05,window_1.8s,stride_1.15s,True,228.5869197845459,3,0.1816,0.4084,0.0229
eval_by_0.05,window_1.8s,stride_1.1s,True,237.17180228233337,4,0.1874,0.3949,0.0251
eval_by_0.05,window_1.8s,stride_1.25s,True,210.66124439239502,1,0.1795,0.3983,0.026
eval_by_0.05,window_1.8s,stride_1.2s,True,218.0497646331787,2,0.1851,0.4017,0.0251
eval_by_0.05,window_1.8s,stride_1.35s,True,194.77287340164185,3,0.1943,0.3983,0.0253
eval_by_0.05,window_1.8s,stride_1.3s,True,200.43148040771484,4,0.1778,0.3601,0.0222
eval_by_0.05,window_1.8s,stride_1.45s,True,181.45323824882507,1,0.1925,0.3565,0.0217
eval_by_0.05,window_1.8s,stride_1.4s,True,187.34452152252197,2,0.1756,0.3457,0.0212
eval_by_0.05,window_1.8s,stride_1.55s,True,173.66599559783936,3,0.1743,0.3457,0.0225
eval_by_0.05,window_1.8s,stride_1.5s,True,174.4580135345459,4,0.1806,0.3636,0.0253
eval_by_0.05,window_1.8s,stride_1.65s,True,156.14824390411377,1,0.1976,0.3457,0.0222
eval_by_0.05,window_1.8s,stride_1.6s,True,165.61990690231323,2,0.173,0.3274,0.0218
eval_by_0.05,window_1.8s,stride_1.75s,True,157.96234822273254,3,0.1766,0.3163,0.0224
eval_by_0.05,window_1.8s,stride_1.7s,True,154.36748790740967,4,0.1622,0.2935,0.0208
eval_by_0.05,window_1.8s,stride_1.8s,True,139.4300308227539,1,0.1905,0.3274,0.023
eval_by_0.05,window_1.9s,stride_0.95s,True,280.2224667072296,2,0.1726,0.4084,0.0218
eval_by_0.05,window_1.9s,stride_1.05s,True,264.63558745384216,3,0.173,0.4151,0.0235
eval_by_0.05,window_1.9s,stride_1.0s,True,263.0984501838684,4,0.1685,0.3812,0.0223
eval_by_0.05,window_1.9s,stride_1.15s,True,223.46426939964294,1,0.1793,0.3707,0.0204
eval_by_0.05,window_1.9s,stride_1.25s,True,220.71701502799988,3,0.1765,0.3881,0.0243
eval_by_0.05,window_1.9s,stride_1.1s,True,240.9458224773407,2,0.1684,0.3812,0.0225
eval_by_0.05,window_1.9s,stride_1.35s,True,210.46898818016052,1,0.1855,0.3742,0.0224
eval_by_0.05,window_1.9s,stride_1.2s,True,228.54650712013245,4,0.1756,0.3742,0.022
eval_by_0.05,window_1.9s,stride_1.3s,True,201.56984329223633,2,0.1778,0.3672,0.0237
eval_by_0.05,window_1.9s,stride_1.45s,True,197.91257095336914,3,0.1628,0.2973,0.0182
eval_by_0.05,window_1.9s,stride_1.55s,True,191.57396507263184,1,0.1718,0.3348,0.0217
eval_by_0.05,window_1.9s,stride_1.4s,True,199.8852195739746,4,0.1571,0.3049,0.0172
eval_by_0.05,window_1.9s,stride_1.5s,True,180.25581645965576,2,0.1711,0.3421,0.0222
eval_by_0.05,window_1.9s,stride_1.65s,True,178.73871326446533,3,0.197,0.3529,0.0209
eval_by_0.05,window_1.9s,stride_1.75s,True,172.27820706367493,1,0.1664,0.2896,0.0201
eval_by_0.05,window_1.9s,stride_1.6s,True,180.87026572227478,4,0.1674,0.3125,0.0205
eval_by_0.05,window_1.9s,stride_1.7s,True,161.59718585014343,2,0.1438,0.2621,0.0174
eval_by_0.05,window_1.9s,stride_1.85s,True,162.9415214061737,3,0.2003,0.3348,0.0215
eval_by_0.05,window_1.9s,stride_1.9s,True,160.30066752433777,1,0.1761,0.2896,0.0185
eval_by_0.05,window_1.9s,stride_1.8s,True,164.1878297328949,4,0.172,0.2857,0.0192
eval_by_0.05,window_2.0s,stride_1.05s,True,283.3703510761261,2,0.1663,0.3949,0.0221
eval_by_0.05,window_2.0s,stride_1.15s,True,284.1556787490845,4,0.1802,0.3672,0.0196
eval_by_0.05,window_2.0s,stride_1.1s,True,289.6567704677582,1,0.1658,0.3881,0.0212
eval_by_0.05,window_2.0s,stride_1.0s,True,303.01685523986816,3,0.1742,0.4017,0.0213
eval_by_0.05,window_2.0s,stride_1.25s,True,226.2995901107788,2,0.1745,0.3672,0.0215
eval_by_0.05,window_2.0s,stride_1.35s,True,241.067528963089,4,0.1816,0.3493,0.0193
eval_by_0.05,window_2.0s,stride_1.2s,True,257.9207253456116,3,0.1751,0.3636,0.021
eval_by_0.05,window_2.0s,stride_1.3s,True,247.16500687599182,1,0.1701,0.3529,0.02
eval_by_0.05,window_2.0s,stride_1.45s,True,182.58377075195312,2,0.1589,0.3125,0.0182
eval_by_0.05,window_2.0s,stride_1.55s,True,212.54163146018982,4,0.1594,0.3049,0.0182
eval_by_0.05,window_2.0s,stride_1.4s,True,225.85754799842834,3,0.1641,0.3237,0.0174
eval_by_0.05,window_2.0s,stride_1.5s,True,218.64882469177246,1,0.1689,0.32,0.0204
eval_by_0.05,window_2.0s,stride_1.65s,True,158.2722978591919,2,0.1851,0.3457,0.0186
eval_by_0.05,window_2.0s,stride_1.75s,True,191.22043824195862,4,0.1576,0.2857,0.018
eval_by_0.05,window_2.0s,stride_1.6s,True,200.91030883789062,3,0.1627,0.3049,0.0188
eval_by_0.05,window_2.0s,stride_1.7s,True,195.34816551208496,1,0.1746,0.2896,0.0178
eval_by_0.05,window_2.0s,stride_1.85s,True,151.1942491531372,2,0.1929,0.3237,0.0191
eval_by_0.05,window_2.0s,stride_1.8s,True,178.17978358268738,3,0.1723,0.2857,0.0182
eval_by_0.05,window_2.0s,stride_1.95s,True,175.16573667526245,4,0.1664,0.2779,0.0173
eval_by_0.05,window_2.0s,stride_1.9s,True,177.44643354415894,1,0.1664,0.2661,0.0163
eval_by_0.05,window_2.0s,stride_2.0s,True,162.8175446987152,2,0.1701,0.27,0.0168
