Window,Stride,Class,Precision,Recall,F1,Support,Correct_Predictions,Total_Predictions
0.7s,0.55s,มึง,6.3,21.4,9.700000000000001,117,25,397
0.7s,0.55s,เหี้ย,9.0,37.2,14.499999999999998,78,29,322
0.7s,0.5s,เย็ด,0.8999999999999999,50.0,1.7000000000000002,26,13,1476
0.7s,0.5s,กู,5.1,68.8,9.5,157,108,2117
0.7s,0.5s,มึง,5.800000000000001,23.1,9.3,117,27,466
0.7s,0.5s,เหี้ย,10.100000000000001,46.2,16.6,78,36,357
0.7s,0.65s,เย็ด,0.7000000000000001,30.8,1.3,26,8,1169
0.7s,0.65s,กู,6.2,68.2,11.3,157,107,1739
0.7s,0.65s,มึง,4.7,13.700000000000001,7.000000000000001,117,16,341
0.7s,0.65s,เหี้ย,9.1,35.9,14.499999999999998,78,28,307
0.7s,0.6s,เย็ด,0.6,30.8,1.2,26,8,1290
0.7s,0.6s,กู,5.3,62.4,9.8,157,98,1851
0.7s,0.6s,มึง,6.5,21.4,10.0,117,25,383
0.7s,0.6s,เหี้ย,9.3,37.2,14.799999999999999,78,29,313
0.7s,0.7s,เย็ด,0.5,23.1,1.0999999999999999,26,6,1094
0.7s,0.7s,กู,5.7,59.9,10.299999999999999,157,94,1661
0.7s,0.7s,มึง,6.0,17.1,8.799999999999999,117,20,336
0.7s,0.7s,เหี้ย,12.3,43.6,19.2,78,34,276
0.8s,0.45s,เย็ด,0.6,34.599999999999994,1.2,26,9,1445
0.8s,0.45s,กู,6.6000000000000005,79.60000000000001,12.1,157,125,1905
0.8s,0.45s,มึง,5.6000000000000005,22.2,8.9,117,26,468
0.8s,0.45s,เหี้ย,9.700000000000001,44.9,16.0,78,35,359
0.8s,0.4s,เย็ด,0.6,34.599999999999994,1.0999999999999999,26,9,1557
0.8s,0.4s,กู,5.8999999999999995,75.8,11.0,157,119,2005
0.8s,0.4s,มึง,6.0,25.6,9.700000000000001,117,30,499
0.8s,0.4s,เหี้ย,9.4,48.699999999999996,15.8,78,38,404
0.8s,0.55s,เย็ด,0.7000000000000001,34.599999999999994,1.4000000000000001,26,9,1254
0.8s,0.55s,กู,6.0,75.2,11.1,157,118,1964
0.8s,0.55s,มึง,6.7,23.1,10.4,117,27,401
0.8s,0.55s,เหี้ย,8.1,33.300000000000004,13.0,78,26,321
0.8s,0.5s,เย็ด,0.6,34.599999999999994,1.3,26,9,1409
0.8s,0.5s,กู,5.7,76.4,10.6,157,120,2116
0.8s,0.5s,มึง,4.9,17.1,7.6,117,20,408
0.8s,0.5s,เหี้ย,8.200000000000001,37.2,13.4,78,29,355
0.8s,0.65s,เย็ด,0.7000000000000001,30.8,1.4000000000000001,26,8,1128
0.8s,0.65s,กู,6.3,70.1,11.5,157,110,1755
0.8s,0.65s,มึง,6.6000000000000005,18.8,9.8,117,22,331
0.8s,0.65s,เหี้ย,8.200000000000001,32.1,13.0,78,25,306
0.8s,0.6s,เย็ด,0.7000000000000001,30.8,1.3,26,8,1193
0.8s,0.6s,กู,5.8999999999999995,68.8,10.9,157,108,1825
0.8s,0.6s,มึง,7.6,23.9,11.5,117,28,369
0.8s,0.6s,เหี้ย,9.1,37.2,14.7,78,29,317
0.8s,0.75s,เย็ด,0.6,23.1,1.2,26,6,998
0.8s,0.75s,กู,6.4,61.8,11.600000000000001,157,97,1514
0.8s,0.75s,มึง,5.8999999999999995,14.499999999999998,8.4,117,17,289
0.8s,0.75s,เหี้ย,6.9,23.1,10.7,78,18,259
0.8s,0.7s,เย็ด,0.6,23.1,1.0999999999999999,26,6,1019
0.8s,0.7s,กู,6.0,61.1,10.9,157,96,1603
0.8s,0.7s,มึง,6.5,17.1,9.5,117,20,306
0.8s,0.7s,เหี้ย,10.9,38.5,17.0,78,30,274
0.8s,0.8s,เย็ด,0.5,19.2,1.0,26,5,927
0.8s,0.8s,กู,6.7,61.8,12.1,157,97,1445
0.8s,0.8s,มึง,7.199999999999999,17.9,10.299999999999999,117,21,291
0.8s,0.8s,เหี้ย,9.6,30.8,14.6,78,24,251
0.9s,0.45s,เย็ด,0.8,42.3,1.6,26,11,1336
0.9s,0.45s,กู,6.5,73.9,12.0,157,116,1781
0.9s,0.45s,มึง,6.0,23.1,9.5,117,27,450
0.9s,0.45s,เหี้ย,9.2,42.3,15.2,78,33,357
0.9s,0.55s,เย็ด,1.0999999999999999,50.0,2.1,26,13,1200
0.9s,0.55s,กู,5.800000000000001,72.6,10.7,157,114,1970
0.9s,0.55s,มึง,5.6000000000000005,18.8,8.6,117,22,392
0.9s,0.55s,เหี้ย,10.4,43.6,16.8,78,34,326
0.9s,0.5s,เย็ด,0.8,38.5,1.6,26,10,1215
0.9s,0.5s,กู,6.9,71.3,12.5,157,112,1629
0.9s,0.5s,มึง,7.3,25.6,11.4,117,30,411
0.9s,0.5s,เหี้ย,10.8,44.9,17.4,78,35,324
0.9s,0.65s,เย็ด,0.8999999999999999,38.5,1.7999999999999998,26,10,1057
0.9s,0.65s,กู,6.4,69.39999999999999,11.700000000000001,157,109,1701
0.9s,0.65s,มึง,7.3,20.5,10.7,117,24,330
0.9s,0.65s,เหี้ย,8.0,29.5,12.5,78,23,289
0.9s,0.6s,เย็ด,0.7000000000000001,30.8,1.4000000000000001,26,8,1108
0.9s,0.6s,กู,6.0,70.1,11.1,157,110,1825
0.9s,0.6s,มึง,6.9,23.1,10.6,117,27,394
0.9s,0.6s,เหี้ย,10.2,38.5,16.1,78,30,294
0.9s,0.75s,เย็ด,0.6,23.1,1.2,26,6,954
0.9s,0.75s,กู,6.1,59.199999999999996,11.1,157,93,1520
0.9s,0.75s,มึง,5.8999999999999995,15.4,8.6,117,18,304
0.9s,0.75s,เหี้ย,10.0,33.300000000000004,15.4,78,26,260
0.9s,0.7s,เย็ด,0.6,23.1,1.2,26,6,999
0.9s,0.7s,กู,5.8999999999999995,61.1,10.7,157,96,1637
0.9s,0.7s,มึง,8.3,22.2,12.1,117,26,313
0.9s,0.7s,เหี้ย,11.200000000000001,37.2,17.299999999999997,78,29,258
0.9s,0.85s,เย็ด,1.0,30.8,1.9,26,8,819
0.9s,0.85s,กู,6.4,56.699999999999996,11.600000000000001,157,89,1380
0.9s,0.85s,มึง,4.5,9.4,6.1,117,11,246
0.9s,0.85s,เหี้ย,9.1,28.199999999999996,13.8,78,22,241
0.9s,0.8s,เย็ด,0.8,26.900000000000002,1.5,26,7,896
0.9s,0.8s,กู,6.800000000000001,61.8,12.3,157,97,1424
0.9s,0.8s,มึง,7.6,17.1,10.6,117,20,262
0.9s,0.8s,เหี้ย,10.9,32.1,16.3,78,25,229
0.9s,0.9s,เย็ด,0.3,7.7,0.5,26,2,772
0.9s,0.9s,กู,6.9,57.99999999999999,12.4,157,91,1313
0.9s,0.9s,มึง,6.1,12.0,8.0,117,14,231
0.9s,0.9s,เหี้ย,10.4,29.5,15.4,78,23,221
1.0s,0.55s,เย็ด,0.7000000000000001,26.900000000000002,1.3,26,7,1072
1.0s,0.55s,กู,7.000000000000001,70.1,12.8,157,110,1562
1.0s,0.55s,มึง,7.3,23.9,11.200000000000001,117,28,385
1.0s,0.55s,เหี้ย,9.2,35.9,14.7,78,28,303
1.0s,0.5s,เย็ด,0.6,26.900000000000002,1.0999999999999999,26,7,1197
1.0s,0.5s,กู,7.3999999999999995,75.2,13.4,157,118,1603
1.0s,0.5s,มึง,6.1,22.2,9.6,117,26,424
1.0s,0.5s,เหี้ย,10.6,42.3,17.0,78,33,310
1.0s,0.65s,เย็ด,0.8,30.8,1.6,26,8,997
1.0s,0.65s,กู,6.6000000000000005,71.3,12.1,157,112,1698
1.0s,0.65s,มึง,6.9,20.5,10.4,117,24,346
1.0s,0.65s,เหี้ย,8.1,30.8,12.9,78,24,295
1.0s,0.6s,เย็ด,0.8,34.599999999999994,1.6,26,9,1065
1.0s,0.6s,กู,6.5,75.2,12.0,157,118,1809
1.0s,0.6s,มึง,6.2,19.7,9.5,117,23,369
1.0s,0.6s,เหี้ย,8.6,33.300000000000004,13.700000000000001,78,26,301
1.0s,0.75s,เย็ด,0.8999999999999999,30.8,1.7999999999999998,26,8,874
1.0s,0.75s,กู,6.6000000000000005,64.3,12.0,157,101,1533
1.0s,0.75s,มึง,5.6000000000000005,14.499999999999998,8.1,117,17,303
1.0s,0.75s,เหี้ย,9.9,33.300000000000004,15.299999999999999,78,26,262
1.0s,0.7s,เย็ด,0.7000000000000001,23.1,1.3,26,6,911
1.0s,0.7s,กู,6.3,65.0,11.5,157,102,1619
1.0s,0.7s,มึง,9.700000000000001,24.8,14.000000000000002,117,29,298
1.0s,0.7s,เหี้ย,12.4,41.0,19.0,78,32,258
1.0s,0.85s,เย็ด,0.8,23.1,1.5,26,6,765
1.0s,0.85s,กู,6.9,60.5,12.4,157,95,1374
1.0s,0.85s,มึง,7.3999999999999995,14.499999999999998,9.8,117,17,230
1.0s,0.85s,เหี้ย,10.0,29.5,14.899999999999999,78,23,231
1.0s,0.8s,เย็ด,0.8,26.900000000000002,1.6,26,7,839
1.0s,0.8s,กู,6.6000000000000005,59.9,11.899999999999999,157,94,1425
1.0s,0.8s,มึง,7.000000000000001,16.2,9.8,117,19,270
1.0s,0.8s,เหี้ย,9.700000000000001,30.8,14.7,78,24,248
1.0s,0.95s,เย็ด,0.8,23.1,1.6,26,6,728
1.0s,0.95s,กู,7.3999999999999995,58.599999999999994,13.100000000000001,157,92,1250
1.0s,0.95s,มึง,7.6,14.499999999999998,10.0,117,17,223
1.0s,0.95s,เหี้ย,11.0,30.8,16.2,78,24,219
1.0s,0.9s,เย็ด,0.6,15.4,1.0999999999999999,26,4,724
1.0s,0.9s,กู,7.3999999999999995,61.1,13.100000000000001,157,96,1304
1.0s,0.9s,มึง,6.5,13.700000000000001,8.799999999999999,117,16,245
1.0s,0.9s,เหี้ย,9.3,28.199999999999996,14.000000000000002,78,22,237
1.0s,1.0s,เย็ด,0.7000000000000001,19.2,1.4000000000000001,26,5,700
1.0s,1.0s,กู,7.6,57.3,13.4,157,90,1183
1.0s,1.0s,มึง,5.4,11.1,7.3,117,13,241
1.0s,1.0s,เหี้ย,8.6,20.5,12.1,78,16,187
